ec_number,pd_segment,tenor,period,ecl_bucket,avg_marginal_pd_loan,avg_marginal_pd_client,avg_marginal_pd_balance,wa_marginal_pd_loan,wa_marginal_pd_client,wa_marginal_pd_balance,pt_date
EC1,Digital_BCL,3,25,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,9,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,9,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,15,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,23,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,15,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,17,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,7,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,7,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,15,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,4,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,22,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,10,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,8,3,0,0.00035014,0,0,0.000410678,0,3/31/2024
EC1,Digital_BCL,2,16,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,21,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,11,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,19,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,23,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,14,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,27,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,24,1,5,1,1,1,1,1,1,3/31/2024
EC1,Digital_SPL,3,20,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,11,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,12,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,10,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,24,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,19,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,26,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,30,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,22,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,6,1,0.028713912,0.037661943,0.033933,0.009137967,0.009925161,0.011201,3/31/2024
EC1,Digital_BCL,12,2,2,0.004536458,0.004864345,0.002785,0.005398935,0.005640211,0.003099,3/31/2024
EC1,Digital_SPL,6,15,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,25,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,12,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,2,1,0.000346377,0.00035571,0.000147,0.000381904,0.000396367,0.000157,3/31/2024
EC1,Digital_BCL,12,14,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,10,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,5,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,20,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,12,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,10,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,21,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,26,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,14,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,24,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,10,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,8,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,7,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,23,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,23,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_RCL,1,3,2,0.00589391,0.00589391,0.006602,0.00589391,0.00589391,0.006602,3/31/2024
EC1,Digital_BCL,3,6,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,2,4,0.965391329,0.964161308,0.972204,0.966406997,0.965074414,0.973299,3/31/2024
EC1,Digital_BCL,12,12,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,16,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,3,1,0.311589506,0.29713693,0.309645,0.331976359,0.309819466,0.33498,3/31/2024
EC1,Digital_BCL,12,14,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,22,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,8,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,22,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,6,1,0.019334093,0.03162295,0.023482,0.014198251,0.023392895,0.02227,3/31/2024
EC1,Digital_SPL,3,10,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,12,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,18,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,3,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,18,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,28,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,2,4,0.964313405,0.963855179,0.972262,0.963120863,0.962799247,0.968839,3/31/2024
EC1,Digital_BCL,2,20,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,15,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,13,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,6,18,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,3,11,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,17,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_RCL,2,5,1,0.001209434,0.001209434,0.00178,0.001209434,0.001209434,0.00178,3/31/2024
EC1,Digital_SPL,12,26,5,0,0,0,0,0,0,3/31/2024
