scenario,product,tenor,period,bucket
BASE,Digital_AKL,1,1,1
BASE,Digital_AKL,1,1,2
BASE,Digital_AKL,1,1,3
BASE,Digital_AKL,1,1,4
BASE,Digital_AKL,1,1,5
BASE,Digital_AKL,1,2,1
BASE,Digital_AKL,1,2,2
BASE,Digital_AKL,1,2,3
BASE,Digital_AKL,1,2,4
BASE,Digital_AKL,1,2,5
BASE,Digital_AKL,1,3,1
BASE,Digital_AKL,1,3,2
BASE,Digital_AKL,1,3,3
BASE,Digital_AKL,1,3,4
BASE,Digital_AKL,1,3,5
BASE,Digital_AKL,1,4,1
BASE,Digital_AKL,1,4,2
BASE,Digital_AKL,1,4,3
BASE,Digital_AKL,1,4,4
BASE,Digital_AKL,1,4,5
BASE,Digital_AKL,1,5,1
BASE,Digital_AKL,1,5,2
BASE,Digital_AKL,1,5,3
BASE,Digital_AKL,1,5,4
BASE,Digital_AKL,1,5,5
BASE,Digital_AKL,1,6,1
BASE,Digital_AKL,1,6,2
BASE,Digital_AKL,1,6,3
BASE,Digital_AKL,1,6,4
BASE,Digital_AKL,1,6,5
BASE,Digital_AKL,1,7,1
BASE,Digital_AKL,1,7,2
BASE,Digital_AKL,1,7,3
BASE,Digital_AKL,1,7,4
BASE,Digital_AKL,1,7,5
BASE,Digital_AKL,1,8,1
BASE,Digital_AKL,1,8,2
BASE,Digital_AKL,1,8,3
BASE,Digital_AKL,1,8,4
BASE,Digital_AKL,1,8,5
BASE,Digital_AKL,1,9,1
BASE,Digital_AKL,1,9,2
BASE,Digital_AKL,1,9,3
BASE,Digital_AKL,1,9,4
BASE,Digital_AKL,1,9,5
BASE,Digital_AKL,1,10,1
BASE,Digital_AKL,1,10,2
BASE,Digital_AKL,1,10,3
BASE,Digital_AKL,1,10,4
BASE,Digital_AKL,1,10,5
BASE,Digital_AKL,1,11,1
BASE,Digital_AKL,1,11,2
BASE,Digital_AKL,1,11,3
BASE,Digital_AKL,1,11,4
BASE,Digital_AKL,1,11,5
BASE,Digital_AKL,1,12,1
BASE,Digital_AKL,1,12,2
BASE,Digital_AKL,1,12,3
BASE,Digital_AKL,1,12,4
BASE,Digital_AKL,1,12,5
BASE,Digital_AKL,1,13,1
BASE,Digital_AKL,1,13,2
BASE,Digital_AKL,1,13,3
BASE,Digital_AKL,1,13,4
BASE,Digital_AKL,1,13,5
BASE,Digital_AKL,1,14,1
BASE,Digital_AKL,1,14,2
BASE,Digital_AKL,1,14,3
BASE,Digital_AKL,1,14,4
BASE,Digital_AKL,1,14,5
BASE,Digital_AKL,1,15,1
BASE,Digital_AKL,1,15,2
BASE,Digital_AKL,1,15,3
BASE,Digital_AKL,1,15,4
BASE,Digital_AKL,1,15,5
BASE,Digital_AKL,1,16,1
BASE,Digital_AKL,1,16,2
BASE,Digital_AKL,1,16,3
BASE,Digital_AKL,1,16,4
BASE,Digital_AKL,1,16,5
BASE,Digital_AKL,1,17,1
BASE,Digital_AKL,1,17,2
BASE,Digital_AKL,1,17,3
BASE,Digital_AKL,1,17,4
BASE,Digital_AKL,1,17,5
BASE,Digital_AKL,1,18,1
BASE,Digital_AKL,1,18,2
BASE,Digital_AKL,1,18,3
BASE,Digital_AKL,1,18,4
BASE,Digital_AKL,1,18,5
BASE,Digital_AKL,1,19,1
BASE,Digital_AKL,1,19,2
BASE,Digital_AKL,1,19,3
BASE,Digital_AKL,1,19,4
BASE,Digital_AKL,1,19,5
BASE,Digital_AKL,1,20,1
BASE,Digital_AKL,1,20,2
BASE,Digital_AKL,1,20,3
BASE,Digital_AKL,1,20,4
BASE,Digital_AKL,1,20,5
BASE,Digital_AKL,1,21,1
BASE,Digital_AKL,1,21,2
BASE,Digital_AKL,1,21,3
BASE,Digital_AKL,1,21,4
BASE,Digital_AKL,1,21,5
BASE,Digital_AKL,1,22,1
BASE,Digital_AKL,1,22,2
BASE,Digital_AKL,1,22,3
BASE,Digital_AKL,1,22,4
BASE,Digital_AKL,1,22,5
BASE,Digital_AKL,1,23,1
BASE,Digital_AKL,1,23,2
BASE,Digital_AKL,1,23,3
BASE,Digital_AKL,1,23,4
BASE,Digital_AKL,1,23,5
BASE,Digital_AKL,1,24,1
BASE,Digital_AKL,1,24,2
BASE,Digital_AKL,1,24,3
BASE,Digital_AKL,1,24,4
BASE,Digital_AKL,1,24,5
BASE,Digital_AKL,1,25,1
BASE,Digital_AKL,1,25,2
BASE,Digital_AKL,1,25,3
BASE,Digital_AKL,1,25,4
BASE,Digital_AKL,1,25,5
BASE,Digital_AKL,1,26,1
BASE,Digital_AKL,1,26,2
BASE,Digital_AKL,1,26,3
BASE,Digital_AKL,1,26,4
BASE,Digital_AKL,1,26,5
BASE,Digital_AKL,1,27,1
BASE,Digital_AKL,1,27,2
BASE,Digital_AKL,1,27,3
BASE,Digital_AKL,1,27,4
BASE,Digital_AKL,1,27,5
BASE,Digital_AKL,1,28,1
BASE,Digital_AKL,1,28,2
BASE,Digital_AKL,1,28,3
BASE,Digital_AKL,1,28,4
BASE,Digital_AKL,1,28,5
BASE,Digital_AKL,1,29,1
BASE,Digital_AKL,1,29,2
BASE,Digital_AKL,1,29,3
BASE,Digital_AKL,1,29,4
BASE,Digital_AKL,1,29,5
BASE,Digital_AKL,1,30,1
BASE,Digital_AKL,1,30,2
BASE,Digital_AKL,1,30,3
BASE,Digital_AKL,1,30,4
BASE,Digital_AKL,1,30,5
BASE,Digital_AKL,1,31,1
BASE,Digital_AKL,1,31,2
BASE,Digital_AKL,1,31,3
BASE,Digital_AKL,1,31,4
BASE,Digital_AKL,1,31,5
BASE,Digital_AKL,1,32,1
BASE,Digital_AKL,1,32,2
BASE,Digital_AKL,1,32,3
BASE,Digital_AKL,1,32,4
BASE,Digital_AKL,1,32,5
BASE,Digital_AKL,1,33,1
BASE,Digital_AKL,1,33,2
BASE,Digital_AKL,1,33,3
BASE,Digital_AKL,1,33,4
BASE,Digital_AKL,1,33,5
BASE,Digital_AKL,1,34,1
BASE,Digital_AKL,1,34,2
BASE,Digital_AKL,1,34,3
BASE,Digital_AKL,1,34,4
BASE,Digital_AKL,1,34,5
BASE,Digital_AKL,1,35,1
BASE,Digital_AKL,1,35,2
BASE,Digital_AKL,1,35,3
BASE,Digital_AKL,1,35,4
BASE,Digital_AKL,1,35,5
BASE,Digital_AKL,1,36,1
BASE,Digital_AKL,1,36,2
BASE,Digital_AKL,1,36,3
BASE,Digital_AKL,1,36,4
BASE,Digital_AKL,1,36,5
BASE,Digital_AKL,2,1,1
BASE,Digital_AKL,2,1,2
BASE,Digital_AKL,2,1,3
BASE,Digital_AKL,2,1,4
BASE,Digital_AKL,2,1,5
BASE,Digital_AKL,2,2,1
BASE,Digital_AKL,2,2,2
BASE,Digital_AKL,2,2,3
BASE,Digital_AKL,2,2,4
BASE,Digital_AKL,2,2,5
BASE,Digital_AKL,2,3,1
BASE,Digital_AKL,2,3,2
BASE,Digital_AKL,2,3,3
BASE,Digital_AKL,2,3,4
BASE,Digital_AKL,2,3,5
BASE,Digital_AKL,2,4,1
BASE,Digital_AKL,2,4,2
BASE,Digital_AKL,2,4,3
BASE,Digital_AKL,2,4,4
BASE,Digital_AKL,2,4,5
BASE,Digital_AKL,2,5,1
BASE,Digital_AKL,2,5,2
BASE,Digital_AKL,2,5,3
BASE,Digital_AKL,2,5,4
BASE,Digital_AKL,2,5,5
BASE,Digital_AKL,2,6,1
BASE,Digital_AKL,2,6,2
BASE,Digital_AKL,2,6,3
BASE,Digital_AKL,2,6,4
BASE,Digital_AKL,2,6,5
BASE,Digital_AKL,2,7,1
BASE,Digital_AKL,2,7,2
BASE,Digital_AKL,2,7,3
BASE,Digital_AKL,2,7,4
BASE,Digital_AKL,2,7,5
BASE,Digital_AKL,2,8,1
BASE,Digital_AKL,2,8,2
BASE,Digital_AKL,2,8,3
BASE,Digital_AKL,2,8,4
BASE,Digital_AKL,2,8,5
BASE,Digital_AKL,2,9,1
BASE,Digital_AKL,2,9,2
BASE,Digital_AKL,2,9,3
BASE,Digital_AKL,2,9,4
BASE,Digital_AKL,2,9,5
BASE,Digital_AKL,2,10,1
BASE,Digital_AKL,2,10,2
BASE,Digital_AKL,2,10,3
BASE,Digital_AKL,2,10,4
BASE,Digital_AKL,2,10,5
BASE,Digital_AKL,2,11,1
BASE,Digital_AKL,2,11,2
BASE,Digital_AKL,2,11,3
BASE,Digital_AKL,2,11,4
BASE,Digital_AKL,2,11,5
BASE,Digital_AKL,2,12,1
BASE,Digital_AKL,2,12,2
BASE,Digital_AKL,2,12,3
BASE,Digital_AKL,2,12,4
BASE,Digital_AKL,2,12,5
BASE,Digital_AKL,2,13,1
BASE,Digital_AKL,2,13,2
BASE,Digital_AKL,2,13,3
BASE,Digital_AKL,2,13,4
BASE,Digital_AKL,2,13,5
BASE,Digital_AKL,2,14,1
BASE,Digital_AKL,2,14,2
BASE,Digital_AKL,2,14,3
BASE,Digital_AKL,2,14,4
BASE,Digital_AKL,2,14,5
BASE,Digital_AKL,2,15,1
BASE,Digital_AKL,2,15,2
BASE,Digital_AKL,2,15,3
BASE,Digital_AKL,2,15,4
BASE,Digital_AKL,2,15,5
BASE,Digital_AKL,2,16,1
BASE,Digital_AKL,2,16,2
BASE,Digital_AKL,2,16,3
BASE,Digital_AKL,2,16,4
BASE,Digital_AKL,2,16,5
