scenario,product,tenor,period,bucket
BASE,Digital_KPL,12,1,1
BASE,Digital_KPL,12,1,2
BASE,Digital_KPL,12,1,3
BASE,Digital_KPL,12,1,4
BASE,Digital_KPL,12,1,5
BASE,Digital_KPL,12,2,1
BASE,Digital_KPL,12,2,2
BASE,Digital_KPL,12,2,3
BASE,Digital_KPL,12,2,4
BASE,Digital_KPL,12,2,5
BASE,Digital_KPL,12,3,1
BASE,Digital_KPL,12,3,2
BASE,Digital_KPL,12,3,3
BASE,Digital_KPL,12,3,4
BASE,Digital_KPL,12,3,5
BASE,Digital_KPL,12,4,1
BASE,Digital_KPL,12,4,2
BASE,Digital_KPL,12,4,3
BASE,Digital_KPL,12,4,4
BASE,Digital_KPL,12,4,5
BASE,Digital_KPL,12,5,1
BASE,Digital_KPL,12,5,2
BASE,Digital_KPL,12,5,3
BASE,Digital_KPL,12,5,4
BASE,Digital_KPL,12,5,5
BASE,Digital_KPL,12,6,1
BASE,Digital_KPL,12,6,2
BASE,Digital_KPL,12,6,3
BASE,Digital_KPL,12,6,4
BASE,Digital_KPL,12,6,5
BASE,Digital_KPL,12,7,1
BASE,Digital_KPL,12,7,2
BASE,Digital_KPL,12,7,3
BASE,Digital_KPL,12,7,4
BASE,Digital_KPL,12,7,5
BASE,Digital_KPL,12,8,1
BASE,Digital_KPL,12,8,2
BASE,Digital_KPL,12,8,3
BASE,Digital_KPL,12,8,4
BASE,Digital_KPL,12,8,5
BASE,Digital_KPL,12,9,1
BASE,Digital_KPL,12,9,2
BASE,Digital_KPL,12,9,3
BASE,Digital_KPL,12,9,4
BASE,Digital_KPL,12,9,5
BASE,Digital_KPL,12,10,1
BASE,Digital_KPL,12,10,2
BASE,Digital_KPL,12,10,3
BASE,Digital_KPL,12,10,4
BASE,Digital_KPL,12,10,5
BASE,Digital_KPL,12,11,1
BASE,Digital_KPL,12,11,2
BASE,Digital_KPL,12,11,3
BASE,Digital_KPL,12,11,4
BASE,Digital_KPL,12,11,5
BASE,Digital_KPL,12,12,1
