tenor,qoq_date,pd_segment,odr_loan,odr_client,odr_balance,pt_date
3,9/30/2021,Digital_SPL,0,0,0,6/30/2021
12,9/30/2021,Digital_SPL,0,0,0,6/30/2021
1,9/30/2021,Digital_SPL,0,0,0,6/30/2021
6,9/30/2021,Digital_SPL,0,0,0,6/30/2021
6,10/31/2021,Digital_SPL,0.001802528,0.001598107,0.001808534,7/31/2021
3,10/31/2021,Digital_SPL,0.000537282,0.000504824,0.000597455,7/31/2021
1,10/31/2021,Digital_SPL,0,0,0,7/31/2021
12,10/31/2021,Digital_SPL,0.001930973,0.001320765,0.001612638,7/31/2021
12,11/30/2021,Digital_SPL,0.006914874,0.006571468,0.00571021,8/31/2021
3,11/30/2021,Digital_SPL,0.002603307,0.003096434,0.002668354,8/31/2021
6,11/30/2021,Digital_SPL,0.005710322,0.005617011,0.004975896,8/31/2021
3,12/31/2021,Digital_BCL,0,0,0,9/30/2021
3,12/31/2021,Digital_SPL,0.006725612,0.008009271,0.007408477,9/30/2021
2,12/31/2021,Digital_BCL,0,0,0,9/30/2021
12,12/31/2021,Digital_SPL,0.014284175,0.01427252,0.011298492,9/30/2021
6,12/31/2021,Digital_BCL,0,0,0,9/30/2021
6,12/31/2021,Digital_SPL,0.011932514,0.012012926,0.010299194,9/30/2021
6,1/31/2022,Digital_SPL,0.017547262,0.018089333,0.015926898,10/31/2021
12,1/31/2022,Digital_BCL,0,0,0,10/31/2021
3,1/31/2022,Digital_SPL,0.012423585,0.013966593,0.014009347,10/31/2021
6,1/31/2022,Digital_BCL,0,0,0,10/31/2021
3,1/31/2022,Digital_BCL,0,0,0,10/31/2021
1,1/31/2022,Digital_SPL,0.001299022,0.001793319,0.001218205,10/31/2021
2,1/31/2022,Digital_BCL,0,0,0,10/31/2021
12,1/31/2022,Digital_SPL,0.020585239,0.02085994,0.01640649,10/31/2021
1,2/28/2022,Digital_SPL,0.006318159,0.007413593,0.006566152,11/30/2021
6,2/28/2022,Digital_SPL,0.024251415,0.024008349,0.022780541,11/30/2021
2,2/28/2022,Digital_BCL,0.000279762,0.000228891,0.000170024,11/30/2021
6,2/28/2022,Digital_BCL,0.000284423,0.000300253,0.00016168,11/30/2021
12,2/28/2022,Digital_BCL,0.000347534,0.000210593,0.000103258,11/30/2021
3,2/28/2022,Digital_BCL,0.000340782,0.000401169,0.000342693,11/30/2021
12,2/28/2022,Digital_SPL,0.027528932,0.026763882,0.022054474,11/30/2021
3,2/28/2022,Digital_SPL,0.021123427,0.019746591,0.02123264,11/30/2021
3,3/31/2022,Digital_SPL,0.026198199,0.024671905,0.025992965,12/31/2021
3,3/31/2022,Digital_BCL,0.002960412,0.003459199,0.002782712,12/31/2021
1,3/31/2022,Digital_SPL,0.013275452,0.014354467,0.014223102,12/31/2021
12,3/31/2022,Digital_SPL,0.034627302,0.033441939,0.028829063,12/31/2021
6,3/31/2022,Digital_BCL,0.004216723,0.004814264,0.003627079,12/31/2021
12,3/31/2022,Digital_BCL,0.002856914,0.003488372,0.002366641,12/31/2021
2,3/31/2022,Digital_BCL,0.003203664,0.003644076,0.003599635,12/31/2021
6,3/31/2022,Digital_SPL,0.030286346,0.030387429,0.030353165,12/31/2021
3,4/30/2022,Digital_SPL,0.033646781,0.032144288,0.034396293,1/31/2022
3,4/30/2022,Digital_BCL,0.010209268,0.012182785,0.011340011,1/31/2022
12,4/30/2022,Digital_SPL,0.044268435,0.042257093,0.03808211,1/31/2022
6,4/30/2022,Digital_BCL,0.014816643,0.01694259,0.013988816,1/31/2022
2,4/30/2022,Digital_BCL,0.013629685,0.014698422,0.016542806,1/31/2022
12,4/30/2022,Digital_BCL,0.009463607,0.011506355,0.008429973,1/31/2022
1,4/30/2022,Digital_SPL,0.024163662,0.023095892,0.025010645,1/31/2022
6,4/30/2022,Digital_SPL,0.040349305,0.039302824,0.03990899,1/31/2022
1,5/31/2022,Digital_SPL,0.033243474,0.031607057,0.03545686,2/28/2022
2,5/31/2022,Digital_BCL,0.027490343,0.02773804,0.030308999,2/28/2022
12,5/31/2022,Digital_SPL,0.054435459,0.051277794,0.04829659,2/28/2022
3,5/31/2022,Digital_BCL,0.019696926,0.022500652,0.021836983,2/28/2022
3,5/31/2022,Digital_SPL,0.043187268,0.040131582,0.044556178,2/28/2022
6,5/31/2022,Digital_SPL,0.052785694,0.049427922,0.050784149,2/28/2022
6,5/31/2022,Digital_BCL,0.027014762,0.029800523,0.026385762,2/28/2022
