date;GDP %;CPI;USDIDR;BIREPO;Unemp;USDIDRGrowth;GDP_Lag1Q;GDP_Lag2Q;GDP_Lag3Q;GDP_Lag4Q;CPI_Lag1Q;CPI_Lag2Q;CPI_Lag3Q;CPI_Lag4Q;USDIDR_Lag1Q;USDIDR_Lag2Q;USDIDR_Lag3Q;USDIDR_Lag4Q;BIREPO_Lag1Q;BIREPO_Lag2Q;BIREPO_Lag3Q;BIREPO_Lag4Q;UNEMP_Lag1Q;UNEMP_Lag2Q;UNEMP_Lag3Q;UNEMP_Lag4Q;USDIDRGROWTH_Lag1Q;USDIDRGROWTH_Lag2Q;USDIDRGROWTH_Lag3Q;USDIDRGROWTH_Lag4Q;D_GDP_Lag1Q;D_GDP_Lag2Q;D_GDP_Lag3Q;D_GDP_Lag4Q;D_CPI_Lag1Q;D_CPI_Lag2Q;D_CPI_Lag3Q;D_CPI_Lag4Q;D_USDIDR_Lag1Q;D_USDIDR_Lag2Q;D_USDIDR_Lag3Q;D_USDIDR_Lag4Q;D_BIREPO_Lag1Q;D_BIREPO_Lag2Q;D_BIREPO_Lag3Q;D_BIREPO_Lag4Q;D_UNEMP_Lag1Q;D_UNEMP_Lag2Q;D_UNEMP_Lag3Q;D_UNEMP_Lag4Q;D_USDIDRGROWTH_Lag1Q;D_USDIDRGROWTH_Lag2Q;D_USDIDRGROWTH_Lag3Q;D_USDIDRGROWTH_Lag4Q
37652;;8,74;8870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37680;;7,34;8884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37711;4,91;7,12;8902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37741;4,91;7,54;8675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37772;4,91;6,91;8310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37802;5,03;6,62;8275;;;;4,91;;;;7,12;;;;8902;;;;0;;;;0;;;;0;;;;0,12;;;;-0,5;;;;-627;;;;0;;;;0;;;;0;;;
37833;5,03;5,79;8510;;;;4,91;;;;7,54;;;;8675;;;;0;;;;0;;;;0;;;;0,12;;;;-1,75;;;;-165;;;;0;;;;0;;;;0;;;
37864;5,03;6,38;8485;;9,5;;4,91;;;;6,91;;;;8310;;;;0;;;;0;;;;0;;;;0,12;;;;-0,53;;;;175;;;;0;;;;9,5;;;;0;;;
37894;4,56;6,2;8395;;9,5;;5,03;4,91;;;6,62;7,12;;;8275;8902;;;0;0;;;0;0;;;0;0;;;-0,47;-0,35;;;-0,42;-0,92;;;120;-507;;;0;0;;;9,5;9,5;;;0;0;;
37925;4,56;6,22;8497;;9,5;;5,03;4,91;;;5,79;7,54;;;8510;8675;;;0;0;;;0;0;;;0;0;;;-0,47;-0,35;;;0,43;-1,32;;;-13;-178;;;0;0;;;9,5;9,5;;;0;0;;
37955;4,56;5,33;8505;;9,5;;5,03;4,91;;;6,38;6,91;;;8485;8310;;;0;0;;;9,5;0;;;0;0;;;-0,47;-0,35;;;-1,05;-1,58;;;20;195;;;0;0;;;0;9,5;;;0;0;;
37986;4,63;5,06;8420;;9,5;;4,56;5,03;4,91;;6,2;6,62;7,12;;8395;8275;8902;;0;0;0;;9,5;0;0;;0;0;0;;0,07;-0,4;-0,28;;-1,14;-1,56;-2,06;;25;145;-482;;0;0;0;;0;9,5;9,5;;0;0;0;
38017;4,63;4,82;8457;;9,5;-0,046561443;4,56;5,03;4,91;;6,22;5,79;7,54;;8497;8510;8675;;0;0;0;;9,5;0;0;;0;0;0;;0,07;-0,4;-0,28;;-1,4;-0,97;-2,72;;-40;-53;-218;;0;0;0;;0;9,5;9,5;;-0,046561443;-0,046561443;-0,046561443;
38046;4,63;4,6;8453;;9,5;-0,048514183;4,56;5,03;4,91;;5,33;6,38;6,91;;8505;8485;8310;;0;0;0;;9,5;9,5;0;;0;0;0;;0,07;-0,4;-0,28;;-0,73;-1,78;-2,31;;-52;-32;143;;0;0;0;;0;0;9,5;;-0,048514183;-0,048514183;-0,048514183;
38077;4,1;5,11;8564;;9,5;-0,037968996;4,63;4,56;5,03;4,91;5,06;6,2;6,62;7,12;8420;8395;8275;8902;0;0;0;0;9,5;9,5;0;0;0;0;0;0;-0,53;-0,46;-0,93;-0,81;0,05;-1,09;-1,51;-2,01;144;169;289;-338;0;0;0;0;0;0;9,5;9,5;-0,037968996;-0,037968996;-0,037968996;-0,037968996
38107;4,1;5,92;8705;;9,5;0,003458213;4,63;4,56;5,03;4,91;4,82;6,22;5,79;7,54;8457;8497;8510;8675;0;0;0;0;9,5;9,5;0;0;-0,046561443;0;0;0;-0,53;-0,46;-0,93;-0,81;1,1;-0,3;0,13;-1,62;248;208;195;30;0;0;0;0;0;0;9,5;9,5;0,050019656;0,003458213;0,003458213;0,003458213
38138;4,1;6,47;9268;;9,5;0,115282792;4,63;4,56;5,03;4,91;4,6;5,33;6,38;6,91;8453;8505;8485;8310;0;0;0;0;9,5;9,5;9,5;0;-0,048514183;0;0;0;-0,53;-0,46;-0,93;-0,81;1,87;1,14;0,09;-0,44;815;763;783;958;0;0;0;0;0;0;0;9,5;0,163796975;0,115282792;0,115282792;0,115282792
38168;4,39;6,83;9400;;9,5;0,135951662;4,1;4,63;4,56;5,03;5,11;5,06;6,2;6,62;8564;8420;8395;8275;0;0;0;0;9,5;9,5;9,5;0;-0,037968996;0;0;0;0,29;-0,24;-0,17;-0,64;1,72;1,77;0,63;0,21;836;980;1005;1125;0;0;0;0;0;0;0;9,5;0,173920657;0,135951662;0,135951662;0,135951662
