Date,BI7DR
7/31/2023,5.75
6/30/2023,5.75
5/31/2023,5.75
4/28/2023,5.75
3/31/2023,5.75
2/28/2023,5.75
1/31/2023,5.75
12/30/2023,5.5
11/30/2023,5.25
10/31/2023,4.75
9/30/2023,4.25
8/31/2023,3.75
7/29/2023,3.5
6/30/2023,3.5
5/31/2023,3.5
4/29/2023,3.5
3/31/2023,3.5
2/28/2023,3.5
1/31/2023,3.5
12/31/2023,3.5
11/30/2023,3.5
10/29/2023,3.5
9/30/2023,3.5
8/31/2023,3.5
7/30/2023,3.5
6/30/2023,3.5
5/31/2023,3.5
4/30/2023,3.5
3/31/2023,3.5
2/26/2023,3.5
1/29/2023,3.75
12/31/2023,3.75
11/30/2023,3.75
10/30/2023,4
9/30/2023,4
8/31/2023,4
7/31/2023,4
6/30/2023,4.25
5/29/2023,4.5
4/30/2023,4.5
3/31/2023,4.5
2/28/2023,4.75
1/31/2023,5
12/31/2023,5
11/29/2023,5
10/31/2023,5
9/30/2023,5.25
8/30/2023,5.5
7/31/2023,5.75
6/28/2023,6
5/31/2023,6
4/30/2023,6
3/29/2023,6
2/28/2023,6
1/31/2023,6
12/31/2023,6
11/30/2023,6
10/31/2023,5.75
9/28/2023,5.75
8/31/2023,5.5
7/31/2023,5.25
6/29/2023,5.25
5/31/2023,4.75
4/30/2023,4.25
3/30/2023,4.25
2/28/2023,4.25
1/31/2023,4.25
12/29/2023,4.25
11/30/2023,4.25
10/31/2023,4.25
9/29/2023,4.25
8/31/2023,4.5
7/31/2023,4.75
6/30/2023,4.75
5/31/2023,4.75
4/28/2023,4.75
3/31/2023,4.75
2/28/2023,4.75
1/31/2023,4.75
12/30/2023,4.75
11/30/2023,4.75
10/31/2023,4.75
9/30/2023,5
8/31/2023,5.25
7/29/2023,5.25
6/30/2023,5.25
5/31/2023,5.5
4/29/2023,5.5
