Date,CPI
7/31/2023,3.08
6/30/2023,3.52
5/31/2023,4
4/30/2023,4.33
3/31/2023,4.97
2/28/2023,5.47
1/31/2023,5.28
12/31/2022,5.51
11/30/2022,5.42
10/31/2022,5.71
9/30/2022,5.95
8/31/2022,4.69
7/31/2022,4.94
6/30/2022,4.35
5/31/2022,3.55
4/30/2022,3.47
3/31/2022,2.64
2/28/2022,2.06
1/31/2022,2.18
12/31/2021,1.87
11/30/2021,1.75
10/31/2021,1.66
9/30/2021,1.6
8/31/2021,1.59
7/31/2021,1.52
6/30/2021,1.33
5/31/2021,1.68
4/30/2021,1.42
3/31/2021,1.37
2/28/2021,1.38
1/31/2021,1.55
12/31/2020,1.68
11/30/2020,1.59
10/31/2020,1.44
9/30/2020,1.42
8/31/2020,1.32
7/31/2020,1.54
6/30/2020,1.96
5/31/2020,2.19
4/30/2020,2.67
3/31/2020,2.96
2/29/2020,2.98
1/31/2020,2.68
12/31/2019,2.59
11/30/2019,2.7
10/31/2019,2.86
9/30/2019,3.12
8/31/2019,3.06
7/31/2019,2.82
6/30/2019,2.84
5/31/2019,3.06
4/30/2019,2.78
3/31/2019,2.53
2/28/2019,2.66
1/31/2019,2.82
12/31/2018,3.13
11/30/2018,3.23
10/31/2018,3.16
9/30/2018,2.88
8/31/2018,3.2
7/31/2018,3.18
6/30/2018,3.12
5/31/2018,3.23
4/30/2018,3.41
3/31/2018,3.4
2/28/2018,3.18
1/31/2018,3.25
12/31/2017,3.61
11/30/2017,3.3
10/31/2017,3.58
9/30/2017,3.72
8/31/2017,3.82
7/31/2017,3.88
6/30/2017,4.37
5/31/2017,4.33
4/30/2017,4.17
3/31/2017,3.61
2/28/2017,3.83
1/31/2017,3.49
12/31/2016,3.02
11/30/2016,3.58
10/31/2016,3.31
9/30/2016,3.07
8/31/2016,2.79
7/31/2016,3.21
6/30/2016,3.45
5/31/2016,3.33
4/30/2016,3.6
3/31/2016,4.45
2/29/2016,4.42
1/31/2016,4.14
12/31/2015,3.35
11/30/2015,4.89
10/31/2015,6.25
9/30/2015,6.83
8/31/2015,7.18
7/31/2015,7.26
6/30/2015,7.26
5/31/2015,7.15
4/30/2015,6.79
3/31/2015,6.38
2/28/2015,6.29
1/31/2015,6.96
12/31/2014,8.36
11/30/2014,6.23
10/31/2014,4.83
9/30/2014,4.53
8/31/2014,3.99
7/31/2014,4.53
6/30/2014,6.7
5/31/2014,7.32
4/30/2014,7.25
3/31/2014,7.32
2/28/2014,7.75
1/31/2014,8.22
12/31/2013,8.08
11/30/2013,8.07
10/31/2013,7.93
9/30/2013,7.9
8/31/2013,8.18
7/31/2013,7.98
6/30/2013,5.41
5/31/2013,4.9
4/30/2013,4.86
3/31/2013,5.02
2/28/2013,4.6
1/31/2013,3.84
12/31/2012,3.65
11/30/2012,3.8
10/31/2012,4.11
9/30/2012,3.81
8/31/2012,4.09
7/31/2012,4.22
6/30/2012,4.33
5/31/2012,4.35
4/30/2012,4.42
3/31/2012,3.88
2/29/2012,3.48
1/31/2012,3.64
12/31/2011,3.78
11/30/2011,4.13
10/31/2011,4.41
9/30/2011,4.59
8/31/2011,4.76
7/31/2011,4.59
6/30/2011,5.53
5/31/2011,5.97
4/30/2011,6.15
3/31/2011,6.64
2/28/2011,6.83
1/31/2011,7.01
12/31/2010,6.96
11/30/2010,6.34
10/31/2010,5.67
9/30/2010,5.81
8/31/2010,6.45
7/31/2010,6.23
6/30/2010,5.06
5/31/2010,4.17
4/30/2010,3.91
3/31/2010,3.43
2/28/2010,3.8
1/31/2010,3.71
12/31/2009,2.78
11/30/2009,2.41
10/31/2009,2.57
9/30/2009,2.83
8/31/2009,2.75
7/31/2009,2.71
6/30/2009,3.65
5/31/2009,6.04
4/30/2009,7.31
3/31/2009,7.92
2/28/2009,8.6
1/31/2009,9.17
12/31/2008,11.06
11/30/2008,11.68
10/31/2008,11.77
9/30/2008,12.14
8/31/2008,11.85
7/31/2008,11.9
6/30/2008,11.03
5/31/2008,10.38
4/30/2008,8.96
3/31/2008,8.17
2/29/2008,7.4
1/31/2008,7.36
12/31/2007,6.59
11/30/2007,6.71
10/31/2007,6.88
9/30/2007,6.95
8/31/2007,6.51
7/31/2007,6.06
6/30/2007,5.77
5/31/2007,6.01
4/30/2007,6.29
3/31/2007,6.52
2/28/2007,6.3
1/31/2007,6.26
12/31/2006,6.6
11/30/2006,5.27
10/31/2006,6.29
9/30/2006,14.55
8/31/2006,14.9
7/31/2006,15.15
6/30/2006,15.53
5/31/2006,15.6
4/30/2006,15.4
3/31/2006,15.74
2/28/2006,17.9
1/31/2006,17.03
12/31/2005,17.1
11/30/2005,18.4
10/31/2005,17.89
9/30/2005,9.1
8/31/2005,8.3
7/31/2005,7.84
6/30/2005,7.42
5/31/2005,7.4
4/30/2005,8.12
3/31/2005,8.81
2/28/2005,7.15
1/31/2005,7.32
12/31/2004,6.4
11/30/2004,6.18
10/31/2004,6.22
9/30/2004,6.27
8/31/2004,6.67
7/31/2004,7.2
6/30/2004,6.83
5/31/2004,6.47
4/30/2004,5.92
3/31/2004,5.11
2/29/2004,4.6
1/31/2004,4.82
12/31/2003,5.06
11/30/2003,5.33
10/31/2003,6.22
9/30/2003,6.2
8/31/2003,6.38
7/31/2003,5.79
6/30/2003,6.62
5/31/2003,6.91
4/30/2003,7.54
3/31/2003,7.12
2/28/2003,7.34
1/31/2003,8.74
