Date,SGRIDR
1/1/2003,5157.63
1/2/2003,5114.6
1/3/2003,5117.2
1/6/2003,5143.92
1/7/2003,5114.07
1/8/2003,5119.81
1/9/2003,5134.57
1/10/2003,5129.07
1/13/2003,5116.95
1/14/2003,5124.71
1/15/2003,5112.71
1/16/2003,5115.75
1/17/2003,5119.17
1/20/2003,5124.8
1/21/2003,5117.55
1/22/2003,5111.81
1/23/2003,5130.51
1/24/2003,5150.17
1/27/2003,5162.58
1/28/2003,5108.6
1/29/2003,5117.92
1/30/2003,5109.72
1/31/2003,5096.59
2/3/2003,5092.38
2/4/2003,5105.87
2/5/2003,5091.9
2/6/2003,5097.93
2/7/2003,5081.32
2/10/2003,5043.97
2/11/2003,5111.5
2/12/2003,5096.62
2/13/2003,5096.85
2/14/2003,5084.49
2/17/2003,5065.42
2/18/2003,5074.24
2/19/2003,5069.57
2/20/2003,5068.79
2/21/2003,5104.58
2/24/2003,5102.22
2/25/2003,5131.61
2/26/2003,5120.8
2/27/2003,5128.71
2/28/2003,5115.55
3/3/2003,5121.35
3/4/2003,5105.13
3/5/2003,5110.36
3/6/2003,5106.65
3/7/2003,5118.27
3/10/2003,5113.09
3/11/2003,5110.18
3/12/2003,5088.3
3/13/2003,5087.38
3/14/2003,5071.46
3/17/2003,5091.5
3/18/2003,5117.98
3/19/2003,5132.14
3/20/2003,5105.64
3/21/2003,5061.09
3/24/2003,5068.65
3/25/2003,5038.91
3/26/2003,5034.06
3/27/2003,5034.19
3/28/2003,5033.63
3/31/2003,5046.62
4/1/2003,5018.05
4/2/2003,5023.2
4/3/2003,5002.07
4/4/2003,5008.38
4/7/2003,4981.85
4/8/2003,4987.32
4/9/2003,4974.91
4/10/2003,4987.8
4/11/2003,4985.55
4/14/2003,4970.35
4/15/2003,4964
4/16/2003,4961.42
4/17/2003,4932.39
4/18/2003,4931.72
4/21/2003,4906.1
4/22/2003,4918.53
4/23/2003,4911.38
4/24/2003,4900.14
4/25/2003,4897.95
4/28/2003,4911.43
4/29/2003,4897.02
4/30/2003,4890.63
5/1/2003,4901.37
5/2/2003,4887.47
5/5/2003,4907.14
5/6/2003,4935.13
5/7/2003,4899.2
5/8/2003,4914.24
5/9/2003,4920.77
5/12/2003,4860.72
5/13/2003,4855.8
5/14/2003,4899.35
5/15/2003,4918.81
5/16/2003,4901.02
5/19/2003,4860.3
5/20/2003,4866.48
5/21/2003,4821.17
5/22/2003,4837.82
5/23/2003,4794.81
5/26/2003,4736.51
5/27/2003,4714.34
5/28/2003,4758.13
5/29/2003,4830.61
5/30/2003,4793.26
6/2/2003,4767.67
6/3/2003,4753.19
6/4/2003,4737.94
6/5/2003,4764.21
6/6/2003,4751.83
6/9/2003,4766.86
6/10/2003,4736.4
6/11/2003,4744.91
6/12/2003,4746.93
6/13/2003,4744.34
6/16/2003,4739.3
6/17/2003,4734.16
6/18/2003,4752.85
6/19/2003,4764.8
6/20/2003,4727.64
6/23/2003,4743.21
6/24/2003,4716.21
6/25/2003,4728.18
6/26/2003,4707.57
6/27/2003,4714.68
6/30/2003,4665.25
7/1/2003,4685.72
7/2/2003,4703.86
7/3/2003,4694.9
7/4/2003,4675.34
7/7/2003,4642.04
7/8/2003,4679.89
7/9/2003,4694.81
7/10/2003,4690.37
7/11/2003,4674.23
7/14/2003,4688.82
7/15/2003,4676.79
7/16/2003,4685.58
7/17/2003,4685.54
7/18/2003,4731.62
7/21/2003,4723.07
7/22/2003,4790.23
7/23/2003,4901.04
7/24/2003,4914.19
7/25/2003,4871.69
7/28/2003,4873.02
7/29/2003,4905.73
7/30/2003,4842.52
7/31/2003,4834.13
8/1/2003,4820.3
8/4/2003,4828.59
8/5/2003,4877.13
8/6/2003,4874.56
8/7/2003,4887.07
8/8/2003,4868.38
8/11/2003,4874.15
8/12/2003,4868.9
8/13/2003,4869.01
8/14/2003,4878.27
8/15/2003,4879.12
8/18/2003,4856.65
8/19/2003,4849.66
8/20/2003,4835.25
8/21/2003,4823.78
8/22/2003,4821.64
8/25/2003,4840.01
8/26/2003,4825.01
8/27/2003,4835.72
8/28/2003,4854.07
8/29/2003,4834.66
9/1/2003,4831.72
9/2/2003,4823.6
9/3/2003,4822.09
9/4/2003,4828.99
9/5/2003,4837.24
9/8/2003,4825.96
9/9/2003,4820.88
9/10/2003,4813.19
9/11/2003,4830.84
9/12/2003,4824.07
9/15/2003,4822.22
9/16/2003,4832.87
9/17/2003,4831.08
9/18/2003,4855.18
9/19/2003,4860.69
9/22/2003,4895.29
9/23/2003,4845.82
9/24/2003,4868.52
9/25/2003,4871.05
9/26/2003,4870.13
9/29/2003,4864.33
9/30/2003,4826.6
10/1/2003,4854.1
10/2/2003,4854.37
10/3/2003,4845.85
10/6/2003,4861.98
10/7/2003,4873.3
10/8/2003,4853.31
10/9/2003,4855.62
10/10/2003,4867.57
10/13/2003,4858.3
10/14/2003,4871.29
10/15/2003,4842.93
10/16/2003,4854.01
10/17/2003,4854.16
10/20/2003,4829.56
10/21/2003,4852.75
10/22/2003,4877.02
10/23/2003,4860.77
10/24/2003,4879.27
10/27/2003,4904.08
10/28/2003,4914.23
10/29/2003,4912.75
10/30/2003,4887.19
10/31/2003,4887.54
11/3/2003,4885.92
11/4/2003,4880.64
11/5/2003,4866.5
11/6/2003,4874.33
11/7/2003,4880.41
11/10/2003,4887.33
11/11/2003,4888.91
11/12/2003,4898.33
11/13/2003,4943.61
11/14/2003,4939.39
11/17/2003,4918.43
11/18/2003,4939.8
11/19/2003,4946.01
11/20/2003,4974.98
11/21/2003,4947.9
11/24/2003,4945.11
11/25/2003,4953.33
11/26/2003,4943.56
11/27/2003,4931.11
11/28/2003,4933.3
12/1/2003,4938.19
12/2/2003,4932.36
12/3/2003,4945.69
12/4/2003,4956.55
12/5/2003,4950.32
12/8/2003,4962.03
12/9/2003,4961.16
12/10/2003,4952.34
12/11/2003,4945.39
12/12/2003,4963.98
12/15/2003,4962.11
12/16/2003,4968.95
12/17/2003,4976.19
12/18/2003,4976.69
12/19/2003,4968.85
12/22/2003,4970.16
12/23/2003,4977.16
12/24/2003,4978.9
12/25/2003,4979.78
12/26/2003,4981.24
12/29/2003,4971.66
12/30/2003,4974.91
12/31/2003,4958.76
1/1/2004,4952.8
1/2/2004,4968.69
1/5/2004,4940.27
1/6/2004,4916.98
1/7/2004,4936.74
1/8/2004,4920.94
1/9/2004,4920.36
1/12/2004,4915.92
1/13/2004,4916.68
1/14/2004,4925.62
1/15/2004,4921.78
1/16/2004,4901.33
1/19/2004,4901.27
1/20/2004,4913.09
1/21/2004,4950.96
1/22/2004,4967.36
1/23/2004,4967.56
1/26/2004,4993.12
1/27/2004,4966.38
1/28/2004,4971.69
1/29/2004,4953.33
1/30/2004,4994.54
2/2/2004,4995.87
2/3/2004,4994.09
2/4/2004,4989.67
2/5/2004,4994.72
2/6/2004,5014.39
2/9/2004,5019.02
2/10/2004,5011.93
2/11/2004,5019.3
2/12/2004,5024.79
2/13/2004,5013.73
2/16/2004,5009.86
2/17/2004,5020
2/18/2004,5014.89
2/19/2004,5008.61
2/20/2004,4987.76
2/23/2004,4978.63
2/24/2004,4998.52
2/25/2004,4982.44
2/26/2004,4974.3
2/27/2004,4980.12
3/1/2004,4971.37
3/2/2004,4974.68
3/3/2004,4999.86
3/4/2004,4982.09
3/5/2004,5000.02
3/8/2004,5036.52
3/9/2004,5008.34
3/10/2004,5018.69
3/11/2004,5045.77
3/12/2004,5053.67
3/15/2004,5059.06
3/16/2004,5063.72
3/17/2004,5040.32
3/18/2004,5049.72
3/19/2004,5061.72
3/22/2004,5067.87
3/23/2004,5087.42
3/24/2004,5065.68
3/25/2004,5097.51
3/26/2004,5094.26
3/29/2004,5094.11
3/30/2004,5114.01
3/31/2004,5110.71
4/1/2004,5137.03
4/2/2004,5113.78
4/5/2004,5116.74
4/6/2004,5100.66
4/7/2004,5123.76
4/8/2004,5119.09
4/9/2004,5115.82
4/12/2004,5155.59
4/13/2004,5143.67
4/14/2004,5117.48
4/15/2004,5147.65
4/16/2004,5142.44
4/19/2004,5119.62
4/20/2004,5119.4
4/21/2004,5117.73
4/22/2004,5098.1
4/23/2004,5090.05
4/26/2004,5088.95
4/27/2004,5087.15
4/28/2004,5083.69
4/29/2004,5105.04
4/30/2004,5155.87
5/3/2004,5155.93
5/4/2004,5139.59
5/5/2004,5151.1
5/6/2004,5156
5/7/2004,5126.09
5/10/2004,5198.91
5/11/2004,5223.08
5/12/2004,5200.73
5/13/2004,5205.25
5/14/2004,5240.02
5/17/2004,5216.99
5/18/2004,5239.7
5/19/2004,5272.09
5/20/2004,5257.31
5/21/2004,5266.83
5/24/2004,5310.84
5/25/2004,5408.15
5/26/2004,5397.39
5/27/2004,5444.44
5/28/2004,5455.39
5/31/2004,5459.18
6/1/2004,5487.15
6/2/2004,5529.98
6/3/2004,5521.28
6/4/2004,5523.1
6/7/2004,5462.49
6/8/2004,5413.96
6/9/2004,5411.71
6/10/2004,5456.14
6/11/2004,5457.67
6/14/2004,5457.91
6/15/2004,5489.68
6/16/2004,5464.96
6/17/2004,5465.5
