Date,UNEMP
2/28/2023,5.45
8/31/2022,5.86
2/28/2022,5.83
8/31/2021,6.49
2/28/2021,6.26
8/31/2020,7.07
2/29/2020,4.94
8/31/2019,5.23
2/28/2019,5.01
8/31/2018,5.3
2/28/2018,5.13
8/31/2017,5.5
2/28/2017,5.33
8/31/2016,5.61
2/29/2016,5.5
8/31/2015,6.18
2/28/2015,5.81
8/31/2014,5.94
2/28/2014,5.7
8/31/2013,6.17
2/28/2013,5.88
8/31/2012,6.13
2/29/2012,6.37
8/31/2011,7.48
2/28/2011,6.96
8/31/2010,7.14
2/28/2010,7.41
8/31/2009,7.87
2/28/2009,8.14
8/31/2008,8.39
2/29/2008,8.46
8/31/2007,9.11
2/28/2007,9.75
8/31/2006,10.28
2/28/2006,10.45
11/30/2005,11.24
2/28/2005,10.26
8/31/2004,9.9
8/31/2003,9.5
