Date,USDIDR
1/31/2003,8870
2/28/2003,8884
3/31/2003,8902
4/30/2003,8675
5/30/2003,8310
6/30/2003,8275
7/31/2003,8510
8/29/2003,8485
9/30/2003,8395
10/31/2003,8497
11/28/2003,8505
12/31/2003,8420
1/30/2004,8457
2/27/2004,8453
3/31/2004,8564
4/30/2004,8705
5/31/2004,9268
6/30/2004,9400
7/30/2004,9130
8/31/2004,9370
9/30/2004,9155
10/29/2004,9088
11/30/2004,9000
12/31/2004,9270
1/31/2005,9161
2/28/2005,9285
3/31/2005,9465
4/29/2005,9570
5/31/2005,9518
6/30/2005,9760
7/29/2005,9805
8/31/2005,10300
9/30/2005,10300
10/31/2005,10123
11/30/2005,10025
12/30/2005,9830
1/31/2006,9370
2/28/2006,9183
3/31/2006,9070
4/28/2006,8785
5/31/2006,9255
6/30/2006,9263
7/31/2006,9073
8/31/2006,9111
9/29/2006,9223
10/31/2006,9115
11/30/2006,9169
12/29/2006,8995
1/31/2007,9097
2/28/2007,9153
3/30/2007,9136
4/30/2007,9085
5/31/2007,8835
6/29/2007,9045
7/31/2007,9189
8/31/2007,9395
9/28/2007,9150
10/31/2007,9099
11/30/2007,9372
12/31/2007,9393
1/31/2008,9267
2/29/2008,9071
3/31/2008,9229
4/30/2008,9232
5/30/2008,9315
6/30/2008,9228
7/31/2008,9098
8/29/2008,9153
9/30/2008,9506
10/31/2008,11050
11/28/2008,12360
12/31/2008,11120
1/30/2009,11375
2/27/2009,12000
3/31/2009,11700
4/30/2009,10625
5/29/2009,10295
6/30/2009,10208
7/31/2009,9928
8/31/2009,10105
9/30/2009,9665
10/30/2009,9585
11/30/2009,9461
12/31/2009,9404
1/29/2010,9353
2/26/2010,9343
3/31/2010,9100
4/30/2010,9010
5/31/2010,9175
6/30/2010,9074
7/30/2010,8949
8/31/2010,9045
9/30/2010,8928
10/29/2010,8940
11/30/2010,9017
12/31/2010,9013
1/31/2011,9050
2/28/2011,8823
3/31/2011,8710
4/29/2011,8575
5/31/2011,8537
6/30/2011,8577
7/29/2011,8498
8/31/2011,8534
9/30/2011,8790
10/31/2011,8853
11/30/2011,9138
12/30/2011,9067
1/31/2012,8995
2/29/2012,9074
3/30/2012,9165
4/30/2012,9189
5/31/2012,9400
6/29/2012,9430
7/31/2012,9439
8/31/2012,9581
9/28/2012,9589
10/31/2012,9608
11/30/2012,9594
12/31/2012,9638
1/31/2013,9740
2/28/2013,9664
3/29/2013,9715
4/30/2013,9723
5/31/2013,9795
6/28/2013,9925
7/31/2013,10278
8/30/2013,10920
9/30/2013,11580
10/31/2013,11273
11/29/2013,11963
12/31/2013,12170
1/31/2014,12210
2/28/2014,11609
3/31/2014,11360
4/30/2014,11562
5/30/2014,11675
6/30/2014,11855
7/31/2014,11580
8/29/2014,11694
9/30/2014,12183
10/31/2014,12085
11/28/2014,12203
12/31/2014,12385
1/30/2015,12670
2/27/2015,12928
3/31/2015,13075
4/30/2015,12964
5/29/2015,13225
6/30/2015,13333
7/31/2015,13531
8/31/2015,14053
9/30/2015,14651
10/30/2015,13695
11/30/2015,13841
12/31/2015,13788
1/29/2016,13776
2/29/2016,13376
3/31/2016,13260
4/29/2016,13197
5/31/2016,13658
6/30/2016,13220
7/29/2016,13099
8/31/2016,13265
9/30/2016,13051
10/31/2016,13048
11/30/2016,13553
12/30/2016,13473
1/31/2017,13352
2/28/2017,13336
3/31/2017,13326
4/28/2017,13329
5/31/2017,13323
6/30/2017,13328
7/31/2017,13325
8/31/2017,13342
9/29/2017,13472
10/31/2017,13563
11/30/2017,13526
12/29/2017,13568
1/31/2018,13389
2/28/2018,13745
3/30/2018,13768
4/30/2018,13913
5/31/2018,13894
6/29/2018,14330
7/31/2018,14420
8/31/2018,14730
9/28/2018,14903
10/31/2018,15203
11/30/2018,14302
12/31/2018,14390
1/31/2019,13973
2/28/2019,14069
3/29/2019,14241
4/30/2019,14259
5/31/2019,14273
6/28/2019,14128
7/31/2019,14022
8/30/2019,14191
9/30/2019,14195
10/31/2019,14041
11/29/2019,14108
12/31/2019,13866
1/31/2020,13655
2/28/2020,14318
3/31/2020,16310
4/30/2020,14882
5/29/2020,14610
6/30/2020,14265
7/31/2020,14600
8/31/2020,14563
9/30/2020,14880
10/30/2020,14625
11/30/2020,14120
12/31/2020,14050
1/29/2021,14030
2/26/2021,14235
3/31/2021,14525
4/30/2021,14445
5/31/2021,14280
6/30/2021,14500
7/30/2021,14463
8/31/2021,14268
9/30/2021,14313
10/29/2021,14168
11/30/2021,14323
12/31/2021,14253
1/31/2022,14383
2/28/2022,14367
3/31/2022,14369
4/29/2022,14497
5/31/2022,14583
6/30/2022,14898
7/29/2022,14833
8/31/2022,14843
9/30/2022,15228
10/31/2022,15598
11/30/2022,15732
12/30/2022,15568
1/31/2023,14990
2/28/2023,15250
3/31/2023,14995
4/28/2023,14670
5/31/2023,14993
6/30/2023,14993
7/31/2023,15080
8/31/2023,15253
