Date,PX_LAST
3/29/2024,6
2/29/2024,6
1/31/2024,6
12/29/2023,6
11/30/2023,6
10/31/2023,6
9/29/2023,5.75
8/31/2023,5.75
7/31/2023,5.75
6/30/2023,5.75
5/31/2023,5.75
4/28/2023,5.75
3/31/2023,5.75
2/28/2023,5.75
1/31/2023,5.75
12/30/2022,5.5
11/30/2022,5.25
10/31/2022,4.75
9/30/2022,4.25
8/31/2022,3.75
7/29/2022,3.5
6/30/2022,3.5
5/31/2022,3.5
4/29/2022,3.5
3/31/2022,3.5
2/28/2022,3.5
1/31/2022,3.5
12/31/2021,3.5
11/30/2021,3.5
10/29/2021,3.5
9/30/2021,3.5
8/31/2021,3.5
7/30/2021,3.5
6/30/2021,3.5
5/31/2021,3.5
4/30/2021,3.5
3/31/2021,3.5
2/26/2021,3.5
1/29/2021,3.75
12/31/2020,3.75
11/30/2020,3.75
10/30/2020,4
9/30/2020,4
8/31/2020,4
7/31/2020,4
6/30/2020,4.25
5/29/2020,4.5
4/30/2020,4.5
3/31/2020,4.5
2/28/2020,4.75
1/31/2020,5
12/31/2019,5
11/29/2019,5
10/31/2019,5
9/30/2019,5.25
8/30/2019,5.5
7/31/2019,5.75
6/28/2019,6
5/31/2019,6
4/30/2019,6
3/29/2019,6
2/28/2019,6
1/31/2019,6
12/31/2018,6
11/30/2018,6
10/31/2018,5.75
9/28/2018,5.75
8/31/2018,5.5
7/31/2018,5.25
6/29/2018,5.25
5/31/2018,4.75
4/30/2018,4.25
3/30/2018,4.25
2/28/2018,4.25
1/31/2018,4.25
12/29/2017,4.25
11/30/2017,4.25
10/31/2017,4.25
9/29/2017,4.25
8/31/2017,4.5
7/31/2017,4.75
6/30/2017,4.75
5/31/2017,4.75
4/28/2017,4.75
3/31/2017,4.75
2/28/2017,4.75
1/31/2017,4.75
12/30/2016,4.75
11/30/2016,4.75
10/31/2016,4.75
9/30/2016,5
8/31/2016,5.25
7/29/2016,5.25
6/30/2016,5.25
5/31/2016,5.5
4/29/2016,5.5
