Date,USDIDR,GDP,CPI,Birepo,Unemployment
12/31/2015,13788,5.15,3.35,,5.5
1/29/2016,13776,4.94,4.14,,5.5
2/29/2016,13376,4.94,4.42,,5.5
3/31/2016,13260,4.94,4.45,,5.61
4/29/2016,13197,5.21,3.6,5.5,5.61
5/31/2016,13658,5.21,3.33,5.5,5.61
6/30/2016,13220,5.21,3.45,5.25,5.61
7/29/2016,13099,5.03,3.21,5.25,5.61
8/31/2016,13265,5.03,2.79,5.25,5.61
9/30/2016,13051,5.03,3.07,5,5.33
10/31/2016,13048,4.94,3.31,4.75,5.33
11/30/2016,13553,4.94,3.58,4.75,5.33
12/30/2016,13473,4.94,3.02,4.75,5.33
1/31/2017,13352,5.01,3.49,4.75,5.33
2/28/2017,13336,5.01,3.83,4.75,5.33
3/31/2017,13326,5.01,3.61,4.75,5.5
4/28/2017,13329,5.01,4.17,4.75,5.5
5/31/2017,13323,5.01,4.33,4.75,5.5
6/30/2017,13328,5.01,4.37,4.75,5.5
7/31/2017,13325,5.06,3.88,4.75,5.5
8/31/2017,13342,5.06,3.82,4.5,5.5
9/29/2017,13472,5.06,3.72,4.25,5.13
10/31/2017,13563,5.19,3.58,4.25,5.13
11/30/2017,13526,5.19,3.3,4.25,5.13
12/29/2017,13568,5.19,3.61,4.25,5.13
1/31/2018,13389,5.07,3.25,4.25,5.13
2/28/2018,13745,5.07,3.18,4.25,5.13
3/30/2018,13768,5.07,3.4,4.25,5.3
4/30/2018,13913,5.27,3.41,4.25,5.3
5/31/2018,13894,5.27,3.23,4.75,5.3
6/29/2018,14330,5.27,3.12,5.25,5.3
7/31/2018,14420,5.17,3.18,5.25,5.3
8/31/2018,14730,5.17,3.2,5.5,5.3
9/28/2018,14903,5.17,2.88,5.75,5.01
10/31/2018,15203,5.18,3.16,5.75,5.01
11/30/2018,14302,5.18,3.23,6,5.01
12/31/2018,14390,5.18,3.13,6,5.01
1/31/2019,13973,5.06,2.82,6,5.01
2/28/2019,14069,5.06,2.57,6,5.01
3/29/2019,14241,5.06,2.48,6,5.23
4/30/2019,14259,5.05,2.83,6,5.23
5/31/2019,14273,5.05,3.32,6,5.23
6/28/2019,14128,5.05,3.28,6,5.23
7/31/2019,14022,5.01,3.32,5.75,5.23
8/30/2019,14191,5.01,3.49,5.5,5.23
9/30/2019,14195,5.01,3.39,5.25,4.94
10/31/2019,14041,4.96,3.13,5,4.94
11/29/2019,14108,4.96,3,5,4.94
12/31/2019,13866,4.96,2.72,5,4.94
1/31/2020,13655,2.97,2.68,5,4.94
2/28/2020,14318,2.97,2.98,4.75,4.94
3/31/2020,16310,2.97,2.96,4.5,7.07
4/30/2020,14882,-5.32,2.67,4.5,7.07
5/29/2020,14610,-5.32,2.19,4.5,7.07
6/30/2020,14265,-5.32,1.96,4.25,7.07
7/31/2020,14600,-3.49,1.54,4,7.07
8/31/2020,14563,-3.49,1.32,4,7.07
9/30/2020,14880,-3.49,1.42,4,6.26
10/31/2020,14625,-2.17,1.44,4,6.26
11/30/2020,14120,-2.17,1.59,3.75,6.26
12/31/2020,14050,-2.17,1.68,3.75,6.26
1/31/2021,14030,-0.69,1.55,3.75,6.26
2/28/2021,14235,-0.69,1.38,3.5,6.26
3/31/2021,14525,-0.69,1.37,3.5,6.49
4/30/2021,14445,7.08,1.42,3.5,6.49
5/31/2021,14280,7.08,1.68,3.5,6.49
6/30/2021,14500,7.08,1.33,3.5,6.49
7/31/2021,14463,3.53,1.52,3.5,6.49
8/31/2021,14268,3.53,1.59,3.5,6.49
9/30/2021,14313,3.53,1.6,3.5,5.83
10/31/2021,14168,5.03,1.66,3.5,5.83
11/30/2021,14323,5.03,1.75,3.5,5.83
12/31/2021,14253,5.03,1.87,3.5,5.83
1/31/2022,14383,5.02,2.18,3.5,5.83
2/28/2022,14367,5.02,2.06,3.5,5.83
3/31/2022,14369,5.02,2.64,3.5,5.86
4/30/2022,14497,5.46,3.47,3.5,5.86
5/31/2022,14583,5.46,3.55,3.5,5.86
6/30/2022,14898,5.46,4.35,3.5,5.86
7/31/2022,14833,5.73,4.94,3.5,5.86
8/31/2022,14843,5.73,4.69,3.75,5.86
9/30/2022,15228,5.73,5.95,4.25,5.45
10/31/2022,15598,5.01,5.71,4.75,5.45
11/30/2022,15732,5.01,5.42,5.25,5.45
12/31/2022,15568,5.01,5.51,5.5,5.45
1/31/2023,14990,5.04,5.28,5.75,5.45
2/28/2023,15250,5.04,5.47,5.75,5.45
3/31/2023,14995,5.04,5.01,5.75,5.32
4/30/2023,14670,5.17,4.33,5.75,5.32
5/31/2023,14993,5.17,4,5.75,5.32
6/30/2023,14993,5.17,3.52,5.75,5.32
7/31/2023,15080,4.94,3.08,5.75,5.32
8/31/2023,15230,4.94,3.27,5.75,5.32
9/30/2023,15455,4.94,2.28,5.75,5.32
10/31/2023,15885,5.04,2.56,6,5.32
11/30/2023,15510,5.04,2.86,6,5.32
12/31/2023,15397,5.04,2.81,6,5.32
1/31/2024,15780,5.04,2.57,6,5.32
2/29/2024,15715,5.04,2.75,6,5.32
3/31/2024,15855,5.04,3.05,6,5.32
