;USDIDR;GDP;CPI;Birepo;USDIDRgrowth;Unemployment;GDP_lag1Q;CPI_lag1Q;Birepo_lag1Q;USDIDRgrowth_lag1Q;Unemployment_lag1Q;GDP_lag2Q;CPI_lag2Q;Birepo_lag2Q;USDIDRgrowth_lag2Q;Unemployment_lag2Q;GDP_lag3Q;CPI_lag3Q;Birepo_lag3Q;USDIDRgrowth_lag3Q;Unemployment_lag3Q;delta_GDP;delta_CPI;delta_Birepo;delta_USDIDRgrowth;delta_Unemployment;delta_GDP_lag1Q;delta_CPI_lag1Q;delta_Birepo_lag1Q;delta_USDIDRgrowth_lag1Q;delta_Unemployment_lag1Q;delta_GDP_lag2Q;delta_CPI_lag2Q;delta_Birepo_lag2Q;delta_USDIDRgrowth_lag2Q;delta_Unemployment_lag2Q;delta_GDP_lag3Q;delta_CPI_lag3Q;delta_Birepo_lag3Q;delta_USDIDRgrowth_lag3Q;delta_Unemployment_lag3Q
USDIDR;1,0;-0,08719918871101301;0,027454354975798304;0,29376490233501523;0,4749176089330241;0,16766771662333144;-0,04510573454810172;-0,02200114010053496;0,28784450496512654;0,08332604670619301;-0,007270601063743882;0,002408609849868614;-0,10401054633305144;0,3267421683376449;-0,058935418769477735;-0,07689709249637607;0,00926542067072798;-0,1853493834247134;0,3858821671815021;-0,19744823427687438;-0,09757415146618525;-0,059435222193017376;0,2564330868444808;-0,21220483073593116;0,3648791096624192;0,0980409373123837;-0,016146056368395556;0,3316753487681384;-0,24506636465571285;0,21422338259994358;-0,03401136543921272;0,027788537436203905;0,3966422896927178;-0,2374340044819373;0,2128668480059875;-0,10194051397203766;0,14338556605550043;0,5109267251566098;-0,23613947660192128;0,2171310848560449;-0,1543558130803665
GDP;-0,08719918871101301;1,0;0,46804810386347195;0,14431724445259017;0,0021535514147565564;-0,6806001739834773;0,6824351679056;0,317599822355039;-0,003192584580811677;-0,06663669620318553;-0,4430313898987471;0,42877139025575944;0,2048114305655036;-0,1113160065540469;0,13040384709288433;-0,15774554066545607;0,1522527451544159;0,10736910353070407;-0,21798081123484117;0,232447033210409;0,12593819692454433;0,7455960243988522;0,17774078735347518;0,39493039509242894;-0,1336844839668065;-0,8703882502176399;0,5138747503973577;0,09986288645662311;0,37735292805146514;-0,1424626277808611;-0,6872955323659774;0,3879760052761009;0,06416612393175772;0,33956225552145064;0,1251184558867402;-0,45494480719108227;0,22007733252439204;-0,019117897820563324;0,23506393101736786;0,2672884030477341;-0,229174435293397
CPI;0,027454354975798304;0,46804810386347195;1,0;0,11099566840611658;0,30826534532647437;-0,48190733064884045;0,57014682698471;0,7795076970832245;-0,06385725327235277;0,24679655711075071;-0,4000710088840334;0,5689772842301922;0,5052925534230189;-0,15297928687318843;0,1386841257876448;-0,3005605888665328;0,5384736345122806;0,2503612425830783;-0,21456666569624766;0,04202883149527973;-0,15890332675092056;-0,008797103858744137;0,5204463802004695;0,3437929977798507;0,1604598637555324;-0,3924648779704015;0,15187853058283776;0,49223295067992334;0,3505495232283118;0,16941654513859425;-0,5179246786981012;0,3220875736705038;0,3988369000931377;0,35540092924836564;0,07282464368731588;-0,581092681137888;0,5051341914585505;0,16374675650943296;0,33779837761387743;-0,08060939745097093;-0,5865733369202898
Birepo;0,29376490233501523;0,14431724445259017;0,11099566840611658;1,0;-0,0045265600137744;-0,3949327588799087;0,23641591179030302;0,084052798821138;0,7427400472929678;-0,14465447898041417;-0,5583276532879814;0,29867777825718983;-0,03606225662034971;0,5417983832579889;-0,13903778430135205;-0,44980198109119174;0,3296128453273717;0,037955996910054246;0,40381949684445295;0,017376083039730865;-0,3964053896186094;-0,12503936620899972;0,04739289599507266;0,385510213051135;-0,08355908947826905;-0,1288879185429258;-0,053686100949299605;0,012846008176495768;0,3810213145271616;-0,16362889710280618;-0,2518055962962755;-0,012065104399814956;-0,06718077580473758;0,32728433375643384;0,020682824301877244;-0,30588595735855884;0,07293252228920061;0,2664523386325395;0,24896490945000724;0,30823783671674737;-0,3448829987578531
USDIDRgrowth;0,4749176089330241;0,0021535514147565564;0,30826534532647437;-0,0045265600137744;1,0;-0,008128091051707528;0,07461778422907324;0,34055739948064256;-0,1426868649726517;0,43749649309892297;-0,06286395664811434;0,20638740848319947;0,25229083761556503;-0,044290973947707465;0,15821298381908536;-0,13988150839726868;0,28317047460629;0,10206578490696;0,047381146396064326;-0,15316757459110453;-0,2789123419947758;-0,155743528649769;0,21874610567021713;-0,10806849912083828;0,8115764153070203;0,2194089755143647;-0,06031785147600331;0,37937654261527504;-0,2836404990924659;0,4427093047946946;-0,02527625600667429;0,07831935031962263;0,38569769015704786;-0,21816758407322867;0,23453702195133563;-0,14918657832493495;0,2543769926852797;0,30361116192266835;-0,12846570756804748;-0,056452952879899675;-0,3327751696854503
Unemployment;0,16766771662333144;-0,6806001739834773;-0,48190733064884045;-0,3949327588799087;-0,008128091051707528;1,0;-0,6227470125439217;-0,454323237229905;-0,2794906140153915;-0,07562857276702954;0,6570436371244267;-0,5328986415426529;-0,3867708226300597;-0,1688554684835319;-0,20033813280733434;0,3548723146139404;-0,4725624980469998;-0,30018623631020735;-0,009759180241725998;-0,2480080012036854;0,31905343762368915;-0,18991127085812384;-0,05324668076185818;-0,3832009068239393;0,11696524936511532;0,5854774116088874;-0,2284903042890761;-0,08041596421964854;-0,4272249844296218;0,04271783406031392;0,5259087247023598;-0,2401584759268575;-0,10376422572574846;-0,4450954573065646;-0,11700541560562049;0,46647883004688234;-0,24896745531472683;-0,09294278120044194;-0,40207075767496664;-0,23664066346487675;0,4549209692305124
GDP_lag1Q;-0,04510573454810172;0,6824351679056;0,57014682698471;0,23641591179030302;0,07461778422907324;-0,6227470125439217;1,0;0,4466076113521775;0,08568279974057516;0,0164374156508934;-0,6391669897073351;0,6816539617894919;0,303718484827146;-0,03203026153014878;-0,033888295724382435;-0,4373588635796134;0,42832010645957036;0,21210096525542746;-0,13304351502592163;0,14066804040755082;-0,1502651509717497;0,3578547583466529;0,22702052280325402;0,3821903926385666;-0,11996460261698105;-0,6336861747936956;0,7455002699128414;0,19367423902135952;0,39198864602885136;-0,1232630190538496;-0,847667491828413;0,5136122788298814;0,12375121270289112;0,3769588614576777;-0,12668693145373391;-0,6847361841723403;0,38993751339123733;0,07730089827822775;0,3317033665588394;0,12343008710667326;-0,4497653565499391
CPI_lag1Q;-0,02200114010053496;0,317599822355039;0,7795076970832245;0,084052798821138;0,34055739948064256;-0,454323237229905;0,4466076113521775;1,0;-0,12024466874092674;0,4540438378257396;-0,33860718711733;0,5377991561212849;0,8156436906896589;-0,23142423418759805;0,36578582381340086;-0,34873254467843673;0,5386127637466037;0,5773755340417098;-0,2875139429784173;0,24869653348027088;-0,2605092323013141;-0,132321796546855;0,11492565722894209;0,3698509172696238;0,13367206770809506;-0,21529425459561305;-0,010908298045060055;0,5229623023940506;0,28292847832445495;0,23143759721156196;-0,3175588976547264;0,13380124235025548;0,5123586661159949;0,2933765488344653;0,16427955754198034;-0,45153862090125163;0,2844944611213205;0,34371499289368623;0,307034586775589;0,037433241959004784;-0,5182810105809333
Birepo_lag1Q;0,28784450496512654;-0,003192584580811677;-0,06385725327235277;0,7427400472929678;-0,1426868649726517;-0,2794906140153915;0,08568279974057516;-0,12024466874092674;1,0;-0,2685684350395146;-0,5173776996333642;0,1720787645497449;-0,1888628789782397;0,7947068004200389;-0,3295249503237506;-0,49483572800616726;0,22377552165271103;-0,22535984652835847;0,6229972559331367;-0,2754997479061748;-0,39745766048440173;-0,16151123221317176;0,12316284750764409;0,01365447309117119;-0,0590781880875885;0,016056319202945608;-0,10444484163988565;0,01703867500356799;0,3743216884102467;-0,18760942002679698;-0,15186938297706248;-0,04178557534027731;-0,06566087575100987;0,36003692811140603;-0,16297448699473016;-0,2384369441719753;0,0026857754973251334;-0,006631420018459533;0,29569046840677266;0,06187902679678705;-0,2721367715232321
USDIDRgrowth_lag1Q;0,08332604670619301;-0,06663669620318553;0,24679655711075071;-0,14465447898041417;0,43749649309892297;-0,07562857276702954;0,0164374156508934;0,4540438378257396;-0,2685684350395146;1,0;0,11821715745473617;0,07994695580964736;0,5032840522612707;-0,3469287268932861;0,5487390571864057;-0,022468780787484252;0,19951676526230486;0,3938704757169606;-0,2431857824135838;0,28661995825059355;-0,0922525994719533;-0,227540059811106;-0,09395942539506424;0,04866908624255579;0,28406254332072645;0,14281288093836786;-0,13998629225019138;0,2722672567260971;-0,12090289462226375;0,8007042188005684;0,24738476337047605;-0,05755610437603528;0,44881462008685974;-0,2797088072378838;0,43458759939727976;0,00030526907369596865;0,06605080655007674;0,3508157563180887;-0,23083718481302032;0,18051412751709814;-0,10512823338279831
