pt_date,pd_segment,tenor,odr_loan
9/30/2023,Digital_KPL,97,0
9/30/2023,Digital_EML,23,0
9/30/2023,Digital_KPL,103,0
9/30/2023,Digital_SPL,1,0.052083958
9/30/2023,Digital_KPL,20,0
9/30/2023,Digital_KPL,132,0
9/30/2023,Digital_KPL,62,0
9/30/2023,Digital_EAL,6,1.98299E-05
9/30/2023,Digital_KPL,109,0
9/30/2023,Digital_KPL,19,0
9/30/2023,Digital_KPL,142,0
9/30/2023,Digital_RCL,1,0
9/30/2023,Digital_UDL,12,0
9/30/2023,Digital_KPL,153,0
9/30/2023,Digital_KPL,176,0
9/30/2023,Digital_SPL,24,0.063424519
9/30/2023,Digital_SCL,6,0.100785634
9/30/2023,Digital_EML,60,0.029411765
9/30/2023,Digital_KPL,46,0
9/30/2023,Digital_AKL,6,0.000185722
9/30/2023,Digital_EML,36,0
9/30/2023,Digital_RCL,3,0
9/30/2023,Digital_KPL,74,0
9/30/2023,Digital_KPL,69,0
9/30/2023,Digital_KPL,29,0
9/30/2023,Digital_KPL,101,0
9/30/2023,Digital_KPL,30,0
9/30/2023,Digital_KPL,24,0
9/30/2023,Digital_KPL,48,0
9/30/2023,Digital_KPL,13,0
9/30/2023,Digital_KPL,179,0
9/30/2023,Digital_KPL,70,0
9/30/2023,Digital_BCL,12,0.177863462
9/30/2023,Digital_AKL,2,0
9/30/2023,Digital_KPL,31,0
9/30/2023,Digital_KPL,95,0
9/30/2023,Digital_KPL,23,0
9/30/2023,Digital_UDL,6,0
9/30/2023,Digital_KPL,94,0
9/30/2023,Digital_KPL,82,0
9/30/2023,Digital_KPL,34,0
9/30/2023,Digital_KPL,71,0
9/30/2023,Digital_KPL,83,0
9/30/2023,Digital_EML,28,0
9/30/2023,Digital_KPL,140,0
9/30/2023,Digital_AKL,9,0.001006253
9/30/2023,Digital_PYL,12,0
9/30/2023,Digital_KPL,175,0
9/30/2023,Digital_EML,12,0
9/30/2023,Digital_KPL,152,0
9/30/2023,Digital_KPL,99,0
9/30/2023,Digital_KPL,60,0
9/30/2023,Digital_SPL,6,0.107854675
9/30/2023,Digital_KPL,143,0
9/30/2023,Digital_KPL,154,0
9/30/2023,Digital_KPL,45,0
9/30/2023,Digital_KPL,141,0
9/30/2023,Digital_KPL,22,0
9/30/2023,Digital_KPL,57,0
9/30/2023,Digital_KPL,37,0
9/30/2023,Digital_KPL,49,0
9/30/2023,Digital_KPL,50,0
9/30/2023,Digital_KPL,61,0
9/30/2023,Digital_KPL,36,0
9/30/2023,Digital_KPL,108,0
9/30/2023,Digital_KPL,14,0
9/30/2023,Digital_KPL,100,0
9/30/2023,Digital_KPL,65,0
9/30/2023,Digital_KPL,98,0
9/30/2023,Digital_KPL,47,0
9/30/2023,Digital_KPL,165,0
9/30/2023,Digital_EML,26,0
9/30/2023,Digital_KPL,42,0
9/30/2023,Digital_AKL,3,0
9/30/2023,Digital_KPL,38,0
9/30/2023,Digital_SPL,18,0.03478084
9/30/2023,Digital_KPL,85,0
9/30/2023,Digital_KPL,96,0
9/30/2023,Digital_PYL,18,0
9/30/2023,Digital_KPL,119,0
9/30/2023,Digital_SPL,12,0.123102184
9/30/2023,Digital_KPL,178,0
9/30/2023,Digital_KPL,12,0
9/30/2023,Digital_KPL,93,0
9/30/2023,Digital_KPL,91,0
9/30/2023,Digital_KPL,120,0
9/30/2023,Digital_KPL,59,0
9/30/2023,Digital_SCL,3,0.040677966
9/30/2023,Digital_KPL,18,0
9/30/2023,Digital_KPL,75,0
9/30/2023,Digital_EML,48,0
9/30/2023,Digital_KPL,33,0
9/30/2023,Digital_KPL,72,0
9/30/2023,Digital_KPL,79,0
9/30/2023,Digital_KPL,128,0
9/30/2023,Digital_KPL,32,0
9/30/2023,Digital_KPL,144,0
9/30/2023,Digital_KPL,67,0
9/30/2023,Digital_EML,21,0
9/30/2023,Digital_BCL,3,0.08213255
9/30/2023,Digital_KPL,118,0
9/30/2023,Digital_KPL,80,0
9/30/2023,Digital_KPL,21,0
9/30/2023,Digital_KPL,105,0
9/30/2023,Digital_KPL,166,0
7/31/2023,Digital_KPL,70,0
7/31/2023,Digital_KPL,101,0
7/31/2023,Digital_KPL,74,0
7/31/2023,Digital_KPL,117,0
7/31/2023,Digital_KPL,152,0
7/31/2023,Digital_KPL,86,0
7/31/2023,Digital_KPL,43,0
7/31/2023,Digital_KPL,47,0
7/31/2023,Digital_EML,26,0
7/31/2023,Digital_KPL,53,0
