pt_date;pd_segment;tenor;odr_loan
31/10/2023;Digital_KPL;50;0
31/10/2023;Digital_KPL;38;0
31/10/2023;Digital_KPL;14;0
31/10/2023;Digital_SCL;12;0.06348069924228865
31/10/2023;Digital_SPL;24;0.0024377271518482404
31/10/2023;Digital_AKL;2;0
31/10/2023;Digital_KPL;67;0
31/10/2023;Digital_KPL;20;0
31/10/2023;Digital_KPL;32;0
31/10/2023;Digital_KPL;93;0
31/10/2023;Digital_UDL;3;0
31/10/2023;Digital_KPL;119;0
31/10/2023;Digital_RCL;1;0
31/10/2023;Digital_KPL;81;0
31/10/2023;Digital_KPL;45;0
31/10/2023;Digital_KPL;18;0
31/10/2023;Digital_AKL;9;0.0002957704821058858
31/10/2023;Digital_PYL;12;00.04
31/10/2023;Digital_KPL;143;0
31/10/2023;Digital_KPL;91;0
31/10/2023;Digital_SCL;6;0.03156192236598891
31/10/2023;Digital_KPL;104;0
31/10/2023;Digital_KPL;140;0
31/10/2023;Digital_KPL;58;0
31/10/2023;Digital_KPL;174;0
31/10/2023;Digital_KPL;117;0
31/10/2023;Digital_PYL;3;0
31/10/2023;Digital_KPL;164;0
31/10/2023;Digital_KPL;82;0
31/10/2023;Digital_KPL;31;0
31/10/2023;Digital_KPL;47;0
31/10/2023;Digital_KPL;65;0
31/10/2023;Digital_EML;16;0
31/10/2023;Digital_KPL;62;0
31/10/2023;Digital_KPL;74;0
31/10/2023;Digital_KPL;98;0
31/10/2023;Digital_KPL;71;0
31/10/2023;Digital_KPL;21;0
31/10/2023;Digital_KPL;29;0
30/11/2023;Digital_SCL;12;0.0632789412822819
30/11/2023;Digital_KPL;120;0
30/11/2023;Digital_KPL;165;0
30/11/2023;Digital_EML;24;0
30/11/2023;Digital_KPL;142;0
30/11/2023;Digital_AKL;3;0.0003188097768331562
30/11/2023;Digital_KPL;25;0
30/11/2023;Digital_KPL;26;0
30/11/2023;Digital_PYL;24;0
30/11/2023;Digital_KPL;56;0
30/11/2023;Digital_KPL;108;0
30/11/2023;Digital_SPL;1;0.02310024936708951
30/11/2023;Digital_KPL;156;0
30/11/2023;Digital_KPL;152;0
30/11/2023;Digital_KPL;154;0
30/11/2023;Digital_KPL;44;0
30/11/2023;Digital_EML;48;0
30/11/2023;Digital_KPL;104;0
30/11/2023;Digital_KPL;34;0
30/11/2023;Digital_KPL;180;0
30/11/2023;Digital_KPL;93;0
30/11/2023;Digital_KPL;43;0
30/11/2023;Digital_KPL;47;0
30/11/2023;Digital_KPL;128;0
30/11/2023;Digital_KPL;118;0
30/11/2023;Digital_KPL;65;0
30/11/2023;Digital_KPL;119;0
30/11/2023;Digital_PYL;18;0
30/11/2023;Digital_UDL;3;0
30/11/2023;Digital_KPL;12;0
30/11/2023;Digital_KPL;84;0
30/11/2023;Digital_EML;16;0
30/11/2023;Digital_KPL;35;0
30/11/2023;Digital_KPL;72;0
30/11/2023;Digital_KPL;98;0
30/11/2023;Digital_KPL;175;0
30/11/2023;Digital_KPL;86;0
30/11/2023;Digital_PYL;3;0
30/11/2023;Digital_KPL;67;0
30/11/2023;Digital_KPL;14;0
30/11/2023;Digital_KPL;166;0
30/11/2023;Digital_KPL;29;0
30/11/2023;Digital_KPL;33;0
30/11/2023;Digital_KPL;50;0
30/11/2023;Digital_KPL;174;0
30/11/2023;Digital_KPL;69;0
30/11/2023;Digital_KPL;38;0
30/11/2023;Digital_KPL;97;0
30/11/2023;Digital_KPL;55;0
30/11/2023;Digital_KPL;71;0
30/11/2023;Digital_KPL;164;0
30/11/2023;Digital_KPL;103;0
31/10/2023;Digital_EAL;6;0.00006386919588682378
31/10/2023;Digital_KPL;180;0
31/10/2023;Digital_KPL;46;0
31/10/2023;Digital_SCL;3;0.0170376055257099
31/10/2023;Digital_KPL;177;0
31/10/2023;Digital_KPL;130;0
31/10/2023;Digital_KPL;99;0
31/10/2023;Digital_KPL;42;0
31/10/2023;Digital_BCL;6;0.04401651400699226
31/10/2023;Digital_KPL;34;0
31/10/2023;Digital_EML;28;0
31/10/2023;Digital_PYL;6;0
31/10/2023;Digital_KPL;154;0
31/10/2023;Digital_UDL;12;0
31/10/2023;Digital_BCL;3;0.02818458557623711
31/10/2023;Digital_AKL;6;0.001120233480241145
31/10/2023;Digital_EAL;2;0
31/10/2023;Digital_KPL;86;0
31/10/2023;Digital_KPL;80;0
31/10/2023;Digital_KPL;53;0
31/10/2023;Digital_KPL;48;0
31/10/2023;Digital_APL;3;0
31/10/2023;Digital_AKL;3;0.00016497113005224087
31/10/2023;Digital_KPL;95;0
31/10/2023;Digital_KPL;55;0
31/10/2023;Digital_KPL;68;0
31/10/2023;Digital_KPL;109;0
31/10/2023;Digital_KPL;75;0
31/10/2023;Digital_KPL;102;0
31/10/2023;Digital_EML;48;0
31/10/2023;Digital_KPL;165;0
31/10/2023;Digital_PYL;18;0
31/10/2023;Digital_KPL;175;0
31/10/2023;Digital_KPL;115;0
31/01/2024;Digital_KPL;109;0
