pt_date,pd_segment,tenor,odr_loan
2023-12-31,Digital_EAL,4,0.00008100737167082204
2023-12-31,Digital_KPL,153,0
2023-12-31,Digital_SCL,3,0.02449206790982466
2023-12-31,Digital_KPL,143,0
2023-12-31,Digital_EML,23,0
2023-12-31,Digital_UDL,3,0.0001381788033715628
2023-12-31,Digital_KPL,102,0
2023-12-31,Digital_BCL,12,0.10414190365543978
2023-12-31,Digital_EML,24,0
2023-12-31,Digital_KPL,14,0
2023-12-31,Digital_KPL,91,0
2023-12-31,Digital_KPL,44,0
2023-12-31,Digital_KPL,139,0
2023-12-31,Digital_AKL,2,0
2023-12-31,Digital_KPL,25,0
2023-12-31,Digital_EAL,9,0.00028940209527116977
2023-12-31,Digital_KPL,96,0
2023-12-31,Digital_KPL,166,0
2023-12-31,Digital_KPL,144,0
2023-12-31,Digital_KPL,58,0
2023-12-31,Digital_UDL,6,0.0005256241787122207
2023-12-31,Digital_KPL,84,0
2023-12-31,Digital_KPL,30,0
2023-12-31,Digital_KPL,60,0
2023-12-31,Digital_KPL,154,0
2023-12-31,Digital_KPL,22,0
2023-12-31,Digital_KPL,180,0
2023-12-31,Digital_KPL,59,0
2023-12-31,Digital_EML,60,0.02631578947368421
2023-12-31,Digital_PYL,12,0
2023-12-31,Digital_KPL,85,0
2023-12-31,Digital_EML,36,0
2023-12-31,Digital_KPL,36,0
2023-12-31,Digital_KPL,17,0
2023-12-31,Digital_KPL,55,0
2023-12-31,Digital_KPL,48,0
2023-12-31,Digital_KPL,43,0
2023-12-31,Digital_KPL,74,0
2023-12-31,Digital_KPL,83,0
2023-12-31,Digital_KPL,68,0
2023-12-31,Digital_KPL,97,0
2023-10-31,Digital_APL,3,0
2023-10-31,Digital_EAL,2,0
2023-10-31,Digital_KPL,119,0
2023-10-31,Digital_KPL,35,0
2023-10-31,Digital_KPL,70,0
2023-10-31,Digital_SCL,3,0.03161933998465081
2023-10-31,Digital_AKL,3,0.00010998075336816057
2023-10-31,Digital_KPL,156,0
2023-10-31,Digital_EML,36,0
2023-10-31,Digital_SPL,6,0.06598228251718787
2023-10-31,Digital_KPL,32,0
2023-10-31,Digital_KPL,164,0
2023-10-31,Digital_EML,23,0
2023-10-31,Digital_KPL,17,0
2023-10-31,Digital_KPL,98,0
2023-10-31,Digital_SCL,12,0.10786945886283635
2023-10-31,Digital_KPL,91,0
2023-10-31,Digital_KPL,56,0
2023-10-31,Digital_KPL,166,0
2023-10-31,Digital_AKL,1,0
2023-10-31,Digital_KPL,180,0
2023-10-31,Digital_KPL,31,0
