Date;USDIDR;GDP;CPI;Birepo;USDIDRgrowth;Unemployment;GDP_lag1Q;CPI_lag1Q;Birepo_lag1Q;USDIDRgrowth_lag1Q;Unemployment_lag1Q;GDP_lag2Q;CPI_lag2Q;Birepo_lag2Q;USDIDRgrowth_lag2Q;Unemployment_lag2Q;GDP_lag3Q;CPI_lag3Q;Birepo_lag3Q;USDIDRgrowth_lag3Q;Unemployment_lag3Q;delta_GDP;delta_CPI;delta_Birepo;delta_USDIDRgrowth;delta_Unemployment;delta_GDP_lag1Q;delta_CPI_lag1Q;delta_Birepo_lag1Q;delta_USDIDRgrowth_lag1Q;delta_Unemployment_lag1Q;delta_GDP_lag2Q;delta_CPI_lag2Q;delta_Birepo_lag2Q;delta_USDIDRgrowth_lag2Q;delta_Unemployment_lag2Q;delta_GDP_lag3Q;delta_CPI_lag3Q;delta_Birepo_lag3Q;delta_USDIDRgrowth_lag3Q;delta_Unemployment_lag3Q
31/12/2015;13788;5,15;3,35;;0,113012593;5,5;4,78;6,83;0;0,202248113;6,18;4,74;7,26;0;0,123284211;5,81;4,83;6,38;0;0,150778981;5,81;0,1;-5,01;0;0,095183327;0,24;-0,15;2,3;0;0,133687706;0,24;-0,2;0,56;0;-0,063740979;0,11;-0,29;-0,94;0;-0,016247213;0,11
29/01/2016;13776;4,94;4,14;;0,08727904;5,5;4,78;6,25;0;0,132312784;6,18;4,74;7,26;0;0,169170984;5,81;4,83;6,79;0;0,121172807;5,81;0,1;-2,82;0;0,049696137;0,24;-0,15;1,42;0;0,060377358;0,24;-0,2;2,73;0;0,040185901;0,11;-0,29;-0,46;0;-0,066622549;0,11
29/02/2016;13376;4,94;4,42;;0,034256109;5,5;4,78;4,89;0;0,134442078;6,18;4,74;7,18;0;0,203336185;5,81;4,83;7,15;0;0,132579651;5,81;0,1;-1,87;0;-0,079611247;0,24;-0,15;-1,34;0;0,114299997;0,24;-0,2;3,19;0;0,15809298;0,11;-0,29;-0,17;0;-0,049560675;0,11
31/03/2016;13260;4,94;4,45;;0,012620468;5,61;5,15;3,35;0;0,113012593;6,18;4,78;6,83;0;0,202248113;6,18;4,74;7,26;0;0,123284211;5,81;0,11;-1,93;0;-0,138158513;-0,31;0,1;-5,01;0;0,095183327;0,24;-0,15;2,3;0;0,133687706;0,24;-0,2;0,56;0;-0,063740979;0,11
29/04/2016;13197;5,21;3,6;5,5;0,016739952;5,61;5,15;4,14;0;0,08727904;6,18;4,78;6,25;0;0,132312784;6,18;4,74;7,26;0;0,169170984;5,81;0,11;-3,19;5,5;-0,104432855;-0,31;0,1;-2,82;0;0,049696137;0,24;-0,15;1,42;0;0,060377358;0,24;-0,2;2,73;0;0,040185901;0,11
31/05/2016;13658;5,21;3,33;5,5;0,032062916;5,61;5,15;4,42;0;0,034256109;6,18;4,78;4,89;0;0,134442078;6,18;4,74;7,18;0;0,203336185;5,81;0,11;-3,82;5,5;-0,100516735;-0,31;0,1;-1,87;0;-0,079611247;0,24;-0,15;-1,34;0;0,114299997;0,24;-0,2;3,19;0;0,15809298;0,11
30/06/2016;13220;5,21;3,45;5,25;-0,00967089;5,61;4,94;4,45;0;0,012620468;5,5;5,15;3,35;0;0,113012593;6,18;4,78;6,83;0;0,202248113;6,18;0,47;-3,81;5,25;-0,1329551;-0,31;0,11;-1,93;0;-0,138158513;-0,31;0,1;-5,01;0;0,095183327;0,24;-0,15;2,3;0;0,133687706;0,24
29/07/2016;13099;5,03;3,21;5,25;-0,031538518;5,61;4,94;3,6;5,5;0,016739952;5,5;5,15;4,14;0;0,08727904;6,18;4,78;6,25;0;0,132312784;6,18;0,47;-4,05;5,25;-0,200709503;-0,31;0,11;-3,19;5,5;-0,104432855;-0,31;0,1;-2,82;0;0,049696137;0,24;-0,15;1,42;0;0,060377358;0,24
31/08/2016;13265;5,03;2,79;5,25;-0,056657425;5,61;4,94;3,33;5,5;0,032062916;5,5;5,15;4,42;0;0,034256109;6,18;4,78;4,89;0;0,134442078;6,18;0,47;-4,39;5,25;-0,25999361;-0,31;0,11;-3,82;5,5;-0,100516735;-0,31;0,1;-1,87;0;-0,079611247;0,24;-0,15;-1,34;0;0,114299997;0,24
30/09/2016;13051;5,03;3,07;5;-0,109943356;5,33;5,21;3,45;5,25;-0,00967089;5,5;4,94;4,45;0;0,012620468;5,5;5,15;3,35;0;0,113012593;6,18;0,25;-3,76;5;-0,312191469;-0,57;0,47;-3,81;5,25;-0,1329551;-0,31;0,11;-1,93;0;-0,138158513;-0,31;0,1;-5,01;0;0,095183327;0,24
31/10/2016;13048;4,94;3,31;4,75;-0,046477638;5,33;5,21;3,21;5,25;-0,031538518;5,5;4,94;3,6;5,5;0,016739952;5,5;5,15;4,14;0;0,08727904;6,18;0,25;-2,94;4,75;-0,178790423;-0,57;0,47;-4,05;5,25;-0,200709503;-0,31;0,11;-3,19;5,5;-0,104432855;-0,31;0,1;-2,82;0;0,049696137;0,24
30/11/2016;13553;4,94;3,58;4,75;-0,0210876;5,33;5,21;2,79;5,25;-0,056657425;5,5;4,94;3,33;5,5;0,032062916;5,5;5,15;4,42;0;0,034256109;6,18;0,25;-1,31;4,75;-0,155529678;-0,57;0,47;-4,39;5,25;-0,25999361;-0,31;0,11;-3,82;5,5;-0,100516735;-0,31;0,1;-1,87;0;-0,079611247;0,24
30/12/2016;13473;4,94;3,02;4,75;-0,022845953;5,33;5,03;3,07;5;-0,109943356;5,61;5,21;3,45;5,25;-0,00967089;5,5;4,94;4,45;0;0,012620468;5,5;-0,21;-0,33;4,75;-0,135858546;-0,57;0,25;-3,76;5;-0,312191469;-0,57;0,47;-3,81;5,25;-0,1329551;-0,31;0,11;-1,93;0;-0,138158513;-0,31
31/01/2017;13352;5,01;3,49;4,75;-0,030778165;5,33;4,94;3,31;4,75;-0,046477638;5,33;5,21;3,21;5,25;-0,031538518;5,5;4,94;3,6;5,5;0,016739952;5,5;0,07;-0,65;4,75;-0,118057205;-0,17;0,16;-2,94;4,75;-0,178790423;-0,85;0,47;-4,05;5,25;-0,200709503;-0,31;0,11;-3,19;5,5;-0,104432855;-0,31
28/02/2017;13336;5,01;3,83;4,75;-0,002990431;5,33;4,94;3,58;4,75;-0,0210876;5,33;5,21;2,79;5,25;-0,056657425;5,5;4,94;3,33;5,5;0,032062916;5,5;0,07;-0,59;4,75;-0,037246539;-0,17;0,16;-1,31;4,75;-0,155529678;-0,85;0,47;-4,39;5,25;-0,25999361;-0,31;0,11;-3,82;5,5;-0,100516735;-0,31
31/03/2017;13326;5,01;3,61;4,75;0,004977376;5,5;4,94;3,02;4,75;-0,022845953;5,33;5,03;3,07;5;-0,109943356;5,61;5,21;3,45;5,25;-0,00967089;5,5;0,07;-0,84;4,75;-0,007643093;-0,11;-0,21;-0,33;4,75;-0,135858546;-0,85;0,25;-3,76;5;-0,312191469;-0,57;0,47;-3,81;5,25;-0,1329551;-0,31
28/04/2017;13329;5,01;4,17;4,75;0,010002273;5,5;5,01;3,49;4,75;-0,030778165;5,33;4,94;3,31;4,75;-0,046477638;5,33;5,21;3,21;5,25;-0,031538518;5,5;-0,2;0,57;-0,75;-0,006737679;-0,11;-0,14;-0,65;4,75;-0,118057205;-0,85;0,16;-2,94;4,75;-0,178790423;-0,85;0,47;-4,05;5,25;-0,200709503;-0,31
31/05/2017;13323;5,01;4,33;4,75;-0,024527749;5,5;5,01;3,83;4,75;-0,002990431;5,33;4,94;3,58;4,75;-0,0210876;5,33;5,21;2,79;5,25;-0,056657425;5,5;-0,2;1;-0,75;-0,056590665;-0,11;-0,14;-0,59;4,75;-0,037246539;-0,85;0,16;-1,31;4,75;-0,155529678;-0,85;0,47;-4,39;5,25;-0,25999361;-0,31
30/06/2017;13328;5,01;4,37;4,75;0,00816944;5,5;5,01;3,61;4,75;0,004977376;5,5;4,94;3,02;4,75;-0,022845953;5,33;5,03;3,07;5;-0,109943356;5,61;-0,2;0,92;-0,5;0,01784033;-0,11;0,07;-0,84;4,75;-0,007643093;0;-0,21;-0,33;4,75;-0,135858546;-0,85;0,25;-3,76;5;-0,312191469;-0,57
