qoq_date,pt_date,pd_segment,tenor,odr_loan,odr_client,odr_balance,zs_odr_balance,zs_odr_loan,zs_odr_client
1/31/2022,10/31/2021,Digital_BCL,12,0.0,0.0,0.0,-1.2952312220518944,-1.2820744098100934,-1.3710437364539367
2/28/2022,11/30/2021,Digital_BCL,12,0.000347534,0.000210593,0.000103258,-1.2922281873729822,-1.2733107180407934,-1.3648549953454059
3/31/2022,12/31/2021,Digital_BCL,12,0.002856914,0.003488372,0.002366641,-1.2264026083315491,-1.2100322104644228,-1.2685302094219446
4/30/2022,1/31/2022,Digital_BCL,12,0.009463607,0.011506355,0.008429973,-1.050063765183726,-1.0434326228948823,-1.0329040442616484
5/31/2022,2/28/2022,Digital_BCL,12,0.018722701,0.02128966,0.016990084,-0.8011115272134222,-0.8099479972784643,-0.7453999874753526
6/30/2022,3/31/2022,Digital_BCL,12,0.023097653,0.022883101,0.021056234,-0.6828563851454104,-0.6996257530275908,-0.6985731992121214
7/31/2022,4/30/2022,Digital_BCL,12,0.026337713,0.024868636,0.023325376,-0.616863318096115,-0.6179218416001088,-0.6402238614994387
8/31/2022,5/31/2022,Digital_BCL,12,0.03141718,0.030121681,0.028045673,-0.4795837311801847,-0.4898339907989451,-0.4858515151419483
9/30/2022,6/30/2022,Digital_BCL,12,0.040021203,0.039548744,0.035046888,-0.27596859782954714,-0.2728681527860632,-0.20881641748527852
10/31/2022,7/31/2022,Digital_BCL,12,0.051677253,0.050796356,0.045025075,0.014225300886975482,0.021060008048706065,0.12171953934712341
11/30/2022,8/31/2022,Digital_BCL,12,0.070967436,0.068565752,0.062746653,0.5296189100896248,0.5074964947964576,0.6439125443328796
12/31/2022,9/30/2022,Digital_BCL,12,0.0854833,0.082911667,0.076184222,0.9204214213456559,0.8735399836668414,1.065498987851851
1/31/2023,10/31/2022,Digital_BCL,12,0.084893409,0.079058548,0.07490182,0.8831255442387359,0.8586648264117694,0.9522665634533117
2/28/2023,11/30/2022,Digital_BCL,12,0.093729126,0.085329023,0.083056533,1.1202876618042128,1.0814732432825365,1.1365383407797927
3/31/2023,12/31/2022,Digital_BCL,12,0.100233652,0.087188759,0.087469739,1.2486361739115877,1.245496507105353,1.191190796626924
4/30/2023,1/31/2023,Digital_BCL,12,0.108474125,0.090625583,0.092996419,1.4093676591161273,1.4532947812461272,1.2921894716616389
5/31/2023,2/28/2023,Digital_BCL,12,0.116592806,0.094732548,0.099366467,1.5946266710119144,1.6580218521435737,1.4128817222435566
