;BI7DR;CPI;GDP;SGRIDR;UNEMP;USDIDR;BI7DR_lag_1M;BI7DR_lag_3M;BI7DR_lag_6M;BI7DR_lag_12M;BI7DR_delta_1Q;BI7DR_delta_2Q;BI7DR_delta_3Q;BI7DR_delta_4Q;BI7DR_growth_1Q;BI7DR_growth_2Q;BI7DR_growth_3Q;BI7DR_growth_4Q;BI7DR_delta_1Q_1M;BI7DR_delta_2Q_1M;BI7DR_delta_3Q_1M;BI7DR_delta_4Q_1M;BI7DR_growth_1Q_1M;BI7DR_growth_2Q_1M;BI7DR_growth_3Q_1M;BI7DR_growth_4Q_1M;BI7DR_delta_1Q_3M;BI7DR_delta_2Q_3M;BI7DR_delta_3Q_3M;BI7DR_delta_4Q_3M;BI7DR_growth_1Q_3M;BI7DR_growth_2Q_3M;BI7DR_growth_3Q_3M;BI7DR_growth_4Q_3M;BI7DR_delta_1Q_6M;BI7DR_delta_2Q_6M;BI7DR_delta_3Q_6M;BI7DR_delta_4Q_6M;BI7DR_growth_1Q_6M;BI7DR_growth_2Q_6M;BI7DR_growth_3Q_6M;BI7DR_growth_4Q_6M;BI7DR_delta_1Q_12M;BI7DR_delta_2Q_12M;BI7DR_delta_3Q_12M;BI7DR_delta_4Q_12M;BI7DR_growth_1Q_12M;BI7DR_growth_2Q_12M;BI7DR_growth_3Q_12M;BI7DR_growth_4Q_12M;CPI_lag_1M;CPI_lag_3M;CPI_lag_6M;CPI_lag_12M;CPI_delta_1Q;CPI_delta_2Q;CPI_delta_3Q;CPI_delta_4Q;CPI_growth_1Q;CPI_growth_2Q;CPI_growth_3Q;CPI_growth_4Q;CPI_delta_1Q_1M;CPI_delta_2Q_1M;CPI_delta_3Q_1M;CPI_delta_4Q_1M;CPI_growth_1Q_1M;CPI_growth_2Q_1M;CPI_growth_3Q_1M;CPI_growth_4Q_1M;CPI_delta_1Q_3M;CPI_delta_2Q_3M;CPI_delta_3Q_3M;CPI_delta_4Q_3M;CPI_growth_1Q_3M;CPI_growth_2Q_3M;CPI_growth_3Q_3M;CPI_growth_4Q_3M;CPI_delta_1Q_6M;CPI_delta_2Q_6M;CPI_delta_3Q_6M;CPI_delta_4Q_6M;CPI_growth_1Q_6M;CPI_growth_2Q_6M;CPI_growth_3Q_6M;CPI_growth_4Q_6M;CPI_delta_1Q_12M;CPI_delta_2Q_12M;CPI_delta_3Q_12M;CPI_delta_4Q_12M;CPI_growth_1Q_12M;CPI_growth_2Q_12M;CPI_growth_3Q_12M;CPI_growth_4Q_12M;GDP_lag_1M;GDP_lag_3M;GDP_lag_6M;GDP_lag_12M;GDP_delta_1Q;GDP_delta_2Q;GDP_delta_3Q;GDP_delta_4Q;GDP_growth_1Q;GDP_growth_2Q;GDP_growth_3Q;GDP_growth_4Q;GDP_delta_1Q_1M;GDP_delta_2Q_1M;GDP_delta_3Q_1M;GDP_delta_4Q_1M;GDP_growth_1Q_1M;GDP_growth_2Q_1M;GDP_growth_3Q_1M;GDP_growth_4Q_1M;GDP_delta_1Q_3M;GDP_delta_2Q_3M;GDP_delta_3Q_3M;GDP_delta_4Q_3M;GDP_growth_1Q_3M;GDP_growth_2Q_3M;GDP_growth_3Q_3M;GDP_growth_4Q_3M;GDP_delta_1Q_6M;GDP_delta_2Q_6M;GDP_delta_3Q_6M;GDP_delta_4Q_6M;GDP_growth_1Q_6M;GDP_growth_2Q_6M;GDP_growth_3Q_6M;GDP_growth_4Q_6M;GDP_delta_1Q_12M;GDP_delta_2Q_12M;GDP_delta_3Q_12M;GDP_delta_4Q_12M;GDP_growth_1Q_12M;GDP_growth_2Q_12M;GDP_growth_3Q_12M;GDP_growth_4Q_12M;SGRIDR_lag_1M;SGRIDR_lag_3M;SGRIDR_lag_6M;SGRIDR_lag_12M;SGRIDR_delta_1Q;SGRIDR_delta_2Q;SGRIDR_delta_3Q;SGRIDR_delta_4Q;SGRIDR_growth_1Q;SGRIDR_growth_2Q;SGRIDR_growth_3Q;SGRIDR_growth_4Q;SGRIDR_delta_1Q_1M;SGRIDR_delta_2Q_1M;SGRIDR_delta_3Q_1M;SGRIDR_delta_4Q_1M;SGRIDR_growth_1Q_1M;SGRIDR_growth_2Q_1M;SGRIDR_growth_3Q_1M;SGRIDR_growth_4Q_1M;SGRIDR_delta_1Q_3M;SGRIDR_delta_2Q_3M;SGRIDR_delta_3Q_3M;SGRIDR_delta_4Q_3M;SGRIDR_growth_1Q_3M;SGRIDR_growth_2Q_3M;SGRIDR_growth_3Q_3M;SGRIDR_growth_4Q_3M;SGRIDR_delta_1Q_6M;SGRIDR_delta_2Q_6M;SGRIDR_delta_3Q_6M;SGRIDR_delta_4Q_6M;SGRIDR_growth_1Q_6M;SGRIDR_growth_2Q_6M;SGRIDR_growth_3Q_6M;SGRIDR_growth_4Q_6M;SGRIDR_delta_1Q_12M;SGRIDR_delta_2Q_12M;SGRIDR_delta_3Q_12M;SGRIDR_delta_4Q_12M;SGRIDR_growth_1Q_12M;SGRIDR_growth_2Q_12M;SGRIDR_growth_3Q_12M;SGRIDR_growth_4Q_12M;UNEMP_lag_1M;UNEMP_lag_3M;UNEMP_lag_6M;UNEMP_lag_12M;UNEMP_delta_1Q;UNEMP_delta_2Q;UNEMP_delta_3Q;UNEMP_delta_4Q;UNEMP_growth_1Q;UNEMP_growth_2Q;UNEMP_growth_3Q;UNEMP_growth_4Q;UNEMP_delta_1Q_1M;UNEMP_delta_2Q_1M;UNEMP_delta_3Q_1M;UNEMP_delta_4Q_1M;UNEMP_growth_1Q_1M;UNEMP_growth_2Q_1M;UNEMP_growth_3Q_1M;UNEMP_growth_4Q_1M;UNEMP_delta_1Q_3M;UNEMP_delta_2Q_3M;UNEMP_delta_3Q_3M;UNEMP_delta_4Q_3M;UNEMP_growth_1Q_3M;UNEMP_growth_2Q_3M;UNEMP_growth_3Q_3M;UNEMP_growth_4Q_3M;UNEMP_delta_1Q_6M;UNEMP_delta_2Q_6M;UNEMP_delta_3Q_6M;UNEMP_delta_4Q_6M;UNEMP_growth_1Q_6M;UNEMP_growth_2Q_6M;UNEMP_growth_3Q_6M;UNEMP_growth_4Q_6M;UNEMP_delta_1Q_12M;UNEMP_delta_2Q_12M;UNEMP_delta_3Q_12M;UNEMP_delta_4Q_12M;UNEMP_growth_1Q_12M;UNEMP_growth_2Q_12M;UNEMP_growth_3Q_12M;UNEMP_growth_4Q_12M;USDIDR_lag_1M;USDIDR_lag_3M;USDIDR_lag_6M;USDIDR_lag_12M;USDIDR_delta_1Q;USDIDR_delta_2Q;USDIDR_delta_3Q;USDIDR_delta_4Q;USDIDR_growth_1Q;USDIDR_growth_2Q;USDIDR_growth_3Q;USDIDR_growth_4Q;USDIDR_delta_1Q_1M;USDIDR_delta_2Q_1M;USDIDR_delta_3Q_1M;USDIDR_delta_4Q_1M;USDIDR_growth_1Q_1M;USDIDR_growth_2Q_1M;USDIDR_growth_3Q_1M;USDIDR_growth_4Q_1M;USDIDR_delta_1Q_3M;USDIDR_delta_2Q_3M;USDIDR_delta_3Q_3M;USDIDR_delta_4Q_3M;USDIDR_growth_1Q_3M;USDIDR_growth_2Q_3M;USDIDR_growth_3Q_3M;USDIDR_growth_4Q_3M;USDIDR_delta_1Q_6M;USDIDR_delta_2Q_6M;USDIDR_delta_3Q_6M;USDIDR_delta_4Q_6M;USDIDR_growth_1Q_6M;USDIDR_growth_2Q_6M;USDIDR_growth_3Q_6M;USDIDR_growth_4Q_6M;USDIDR_delta_1Q_12M;USDIDR_delta_2Q_12M;USDIDR_delta_3Q_12M;USDIDR_delta_4Q_12M;USDIDR_growth_1Q_12M;USDIDR_growth_2Q_12M;USDIDR_growth_3Q_12M;USDIDR_growth_4Q_12M
31/01/2003;;0,384722222;;5096.59.00;;8870.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/02/2003;;07.34;;5115.55.00;;8884.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,384722222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5096.59.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8870.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2003;;07.12;0,229861111;5046.62;;8902.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5115.55.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8884.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/04/2003;;07.54;0,232638889;4890.63;;8675.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.12;0,384722222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,229861111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5046.62;5096.59.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8902.00.00;8870.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/05/2003;;0,313194444;0,235416667;47.779.400.000.000.000;;8475.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.54;07.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,232638889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4890.63;5115.55.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8675.00.00;8884.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/06/2003;;0,293055556;05.03;4665.25.00;;8275.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,313194444;07.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,235416667;0,229861111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.779.400.000.000.000;5046.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8475.00.00;8902.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/07/2003;;0,263194444;4.873.333.333.333.330;4834.13.00;;8510.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,293055556;07.54;0,384722222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.03;0,232638889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4665.25.00;4890.63;5096.59.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8275.00.00;8675.00.00;8870.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/2003;;06.38;4.716.666.666.666.660;4.830.365;09.05;8452.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,263194444;0,313194444;07.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.873.333.333.333.330;0,235416667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4834.13.00;47.779.400.000.000.000;5115.55.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8510.00.00;8475.00.00;8884.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2003;;06.02;04.56;4826.06.00;9.533.333.333.333.330;8395.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.38;0,293055556;07.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.716.666.666.666.660;05.03;0,229861111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.830.365;4665.25.00;5046.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8452.05.00;8275.00.00;8902.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/10/2003;;06.22;4.583.333.333.333.330;4887.54.00;9.566.666.666.666.660;8497.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.02;0,263194444;07.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04.56;4.873.333.333.333.330;0,232638889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4826.06.00;4834.13.00;4890.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.533.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8395.00.00;8510.00.00;8675.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/11/2003;;05.33;46.066.666.666.666.600;4923.15.00;09.06;8458.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.22;06.38;0,313194444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.583.333.333.333.330;4.716.666.666.666.660;0,235416667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4887.54.00;4.830.365;47.779.400.000.000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.566.666.666.666.660;09.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8497.00.00;8452.05.00;8475.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
